Date,Open,High,Low,Close,Volume,Open Interest
2020-12-07,3631.25,3631.25,3631.25,3631.25,0,0
2020-12-08,3641.75,3641.75,3641.75,3641.75,0,0
2020-12-09,3616.5,3616.5,3616.5,3616.5,0,0
2020-12-10,3608.5,3608.5,3608.5,3608.5,0,0
2020-12-11,3603,3603,3603,3603,0,0
2020-12-14,3589.75,3589.75,3589.75,3589.75,0,0
2020-12-15,3634.5,3634.5,3634.5,3634.5,0,0
2020-12-16,3641,3641,3641,3641,0,0
2020-12-17,3661.5,3661.5,3661.5,3661.5,0,0
2020-12-18,3651.5,3651.5,3651.5,3651.5,0,0
2020-12-21,3636,3636,3636,3636,0,0
2020-12-22,3628,3628,3628,3628,0,0
2020-12-23,3633,3633,3633,3633,0,0
2020-12-24,3646,3646,3646,3646,0,0
2020-12-28,3677.5,3677.5,3677.5,3677.5,0,0
2020-12-29,3670,3670,3670,3670,0,0
2020-12-30,3674.25,3674.25,3674.25,3674.25,0,0
2020-12-31,3699.75,3699.75,3699.75,3699.75,0,0
2021-01-04,3642.25,3642.25,3642.25,3642.25,0,0
2021-01-05,3668.5,3668.5,3668.5,3668.5,0,0
2021-01-06,3690.75,3690.75,3690.75,3690.75,0,0
2021-01-07,3745.75,3745.75,3745.75,3745.75,0,0
2021-01-08,3765.75,3767.5,3765.75,3767.5,10,10
2021-01-11,3742,3742,3742,3742,0,10
2021-01-12,3746.75,3746.75,3746.75,3746.75,0,10
2021-01-13,3754,3754,3754,3754,0,10
2021-01-14,3741.25,3741.25,3741.25,3741.25,0,10
2021-01-15,3712.5,3712.5,3712.5,3712.5,0,10
2021-01-19,3741.5,3741.5,3741.5,3741.5,0,10
2021-01-20,3795.75,3795.75,3795.75,3795.75,0,10
2021-01-21,3797.25,3797.25,3797.25,3797.25,0,10
2021-01-22,3795.75,3795.75,3787,3787,5,15
2021-01-25,3799.75,3799.75,3799.75,3799.75,0,15
2021-01-26,3794.75,3794.75,3794.75,3794.75,0,15
2021-01-27,3696.25,3696.25,3696.25,3696.25,0,15
2021-01-28,3732.5,3732.5,3732.5,3732.5,6,21
2021-01-29,3700,3700,3660,3660,6,21
2021-02-01,3720,3720,3719.5,3719.5,1,20
2021-02-02,3772.25,3772.25,3772.25,3772.25,0,20
