Date,Open,High,Low,Close,Volume,Open Interest
2021-03-08,3759.5,3759.5,3759.5,3759.5,0,0
2021-03-09,3813.75,3813.75,3813.75,3813.75,0,0
2021-03-10,3834,3834,3834,3834,0,0
2021-03-11,3875.25,3875.25,3875.25,3875.25,0,0
2021-03-12,3878.5,3878.5,3878.5,3878.5,0,0
2021-03-15,3905.25,3905.25,3905.25,3905.25,0,0
2021-03-16,3899,3899,3899,3899,0,0
2021-03-17,3909.75,3909.75,3909.75,3909.75,0,0
2021-03-18,3853.25,3853.25,3853.25,3853.25,0,0
2021-03-19,3849.5,3849.5,3849.5,3849.5,0,0
2021-03-22,3878.5,3878.5,3878.5,3878.5,0,0
2021-03-23,3849.75,3849.75,3849.75,3849.75,0,0
2021-03-24,3855,3855,3844.5,3844.5,2,0
2021-03-25,3862.75,3862.75,3862.75,3862.75,0,0
2021-03-26,3928.75,3928.75,3928.75,3928.75,0,0
2021-03-29,3921.25,3921.25,3921.25,3921.25,0,0
2021-03-30,3904.75,3904.75,3904.75,3904.75,0,0
2021-03-31,3927.75,3927.75,3927.75,3927.75,0,0
2021-04-01,3971.75,3971.75,3971.75,3971.75,0,0
2021-04-05,4029.25,4030.75,4029.25,4030.75,1,1
2021-04-06,4024.25,4024.25,4024.25,4024.25,0,1
2021-04-07,4031,4031,4031,4031,0,1
2021-04-08,4048.25,4048.25,4048.25,4048.25,0,1
2021-04-09,4080,4080,4080,4080,0,1
2021-04-12,4079.75,4079.75,4079.75,4079.75,0,1
2021-04-13,4093.75,4093.75,4093.75,4093.75,0,1
2021-04-14,4074.25,4074.25,4074.25,4074.25,0,1
2021-04-15,4121.25,4121.25,4121.25,4121.25,0,1
2021-04-16,4136.25,4136.25,4136.25,4136.25,0,1
2021-04-19,4110,4113.25,4110,4113.25,10,10
2021-04-20,4087.5,4087.5,4087.5,4087.5,0,10
2021-04-21,4125.25,4125.25,4125.25,4125.25,0,10
2021-04-22,4088.5,4088.5,4088.5,4088.5,0,10
2021-04-23,4133,4133,4133,4133,0,10
2021-04-26,4140,4140,4140,4140,0,10
2021-04-27,4142.75,4142.75,4142.75,4142.75,0,10
2021-04-28,4136.25,4136.25,4136.25,4136.25,0,10
2021-04-29,4163.5,4163.5,4163.5,4163.5,0,10
2021-04-30,4132.25,4132.25,4132.25,4132.25,0,10
2021-05-03,4145.5,4145.5,4145.5,4145.5,14712,14722
2021-05-04,4118,4118,4118,4118,0,14722
2021-05-05,4121.25,4121.25,4121.25,4121.25,0,14722
2021-05-06,4155,4155,4155,4155,0,14722
2021-05-07,4187.25,4187.25,4187.25,4187.25,0,14722
2021-05-10,4145.5,4145.5,4145.5,4145.5,0,14722
2021-05-11,4107.5,4107.5,4107.5,4107.5,0,14722
2021-05-12,4020.5,4020.5,4020.5,4020.5,0,14722
2021-05-13,4069.25,4069.25,4069.25,4069.25,0,14722
2021-05-14,4131,4131,4131,4131,0,14722
2021-05-17,4119,4119,4119,4119,0,14722
2021-05-18,4085.5,4085.5,4085.5,4085.5,0,14722
2021-05-19,4072.25,4072.25,4072.25,4072.25,0,14722
2021-05-20,4114.25,4114.25,4114.25,4114.25,0,14722
2021-05-21,4114.75,4114.75,4114.75,4114.75,11000,25722
2021-05-24,4156.75,4156.75,4156.75,4156.75,10000,35722
2021-05-25,4148.5,4148.5,4148.5,4148.5,0,35722
2021-05-26,4156,4156,4156,4156,5000,40722
2021-05-27,4162,4162,4162,4162,5000,45722
2021-05-28,4165.5,4165.5,4165.5,4165.5,5000,45722
2021-06-01,4161,4161,4161,4161,0,45722
2021-06-02,4167.25,4167.25,4167.25,4167.25,0,45722
2021-06-03,4153.25,4153.25,4153.25,4153.25,0,45722
2021-06-04,4189.75,4189.75,4189.75,4189.75,0,45722
2021-06-07,4187.5,4187.5,4187.5,4187.5,0,45722
2021-06-08,4187.5,4187.5,4187.5,4187.5,0,45722
2021-06-09,4180.5,4180.5,4180.5,4180.5,0,45722
2021-06-10,4200.5,4200.5,4200.5,4200.5,0,45722
2021-06-11,4206.25,4206.25,4206.25,4206.25,0,45722
2021-06-14,4214.25,4214.25,4214.25,4214.25,0,45722
2021-06-15,4206,4206,4206,4206,0,45722
2021-06-16,4185,4185,4185,4185,0,45722
2021-06-17,4183.25,4183.25,4183.25,4183.25,0,45722
2021-06-18,4127.25,4127.25,4127.25,4127.25,0,45722
2021-06-21,4188.5,4188.5,4188.5,4188.5,0,45722
2021-06-22,4200,4207.75,4200,4207.75,1,45722
2021-06-23,4206.25,4206.25,4206.25,4206.25,0,45722
2021-06-24,4230.5,4230.5,4230.5,4230.5,0,45722
2021-06-25,4245,4245,4245,4245,0,45722
2021-06-28,4255,4255,4255,4255,0,45722
2021-06-29,4256.25,4256.25,4256.25,4256.25,0,45722
2021-06-30,4262.25,4262.25,4262.25,4262.25,0,45722
2021-07-01,4283.25,4283.25,4283.25,4283.25,0,45722
2021-07-02,4300,4316,4300,4316,1,45722
2021-07-06,4307.75,4307.75,4307.75,4307.75,0,45722
2021-07-07,4322,4322,4322,4322,0,45722
2021-07-08,4285.25,4285.25,4285.25,4285.25,0,45722
2021-07-09,4333,4333,4333,4333,0,45722
2021-07-12,4349.25,4349.25,4349.25,4349.25,0,45722
2021-07-13,4334.5,4334.5,4334.5,4334.5,115,45832
2021-07-14,4340.75,4340.75,4340.75,4340.75,0,45832
2021-07-15,4325,4325,4325,4325,26,45842
2021-07-16,4292,4292,4292,4292,0,45842
2021-07-19,4223.5,4223.5,4223.5,4223.5,0,45842
2021-07-20,4288.75,4288.75,4288.75,4288.75,0,45842
2021-07-21,4324,4324,4324,4324,10,45852
2021-07-22,4333,4333,4333,4333,0,45852
2021-07-23,4376.75,4376.75,4376.75,4376.75,0,45852
2021-07-26,4388,4388,4388,4388,0,45852
2021-07-27,4368,4368,4368,4368,0,45852
2021-07-28,4375,4375,4369.25,4369.25,1,45853
2021-07-29,4385.5,4385.5,4385.5,4385.5,0,45853
2021-07-30,4362.75,4362.75,4362.75,4362.75,0,45853
2021-08-02,4353.25,4353.25,4353.25,4353.25,0,45853
2021-08-03,4389.25,4389.25,4389.25,4389.25,0,45853
2021-08-04,4370.5,4370.5,4370.5,4370.5,0,45853
2021-08-05,4396.25,4396.25,4396.25,4396.25,0,45853
2021-08-06,4403.75,4403.75,4403.75,4403.75,0,45853
2021-08-09,4400,4400,4400,4400,0,45853
2021-08-10,4403.5,4403.5,4403.5,4403.5,83,45879
2021-08-11,4414,4414,4414,4414,6,45879
2021-08-12,4428,4428,4428,4428,0,45879
2021-08-13,4435.5,4435.5,4435.5,4435.5,0,45879
2021-08-16,4447.25,4447.25,4447.25,4447.25,0,45879
2021-08-17,4416,4416,4416,4416,0,45879
2021-08-18,4366.5,4366.5,4366.5,4366.5,0,45879
2021-08-19,4373,4373,4373,4373,0,45879
2021-08-20,4400,4410.5,4400,4410.5,2,45879
2021-08-23,4450,4450,4447.5,4447.5,1,45879
2021-08-24,4457.5,4457.5,4453.75,4456.5,4,45879
2021-08-25,4466,4466,4466,4466,0,45879
2021-08-26,4439.5,4439.5,4439.5,4439.5,0,45879
2021-08-27,4478.5,4478.5,4478.5,4478.5,0,45879
2021-08-30,4510,4510,4497.25,4497.25,1,45880
2021-08-31,4492.25,4492.25,4492.25,4492.25,12,45880
2021-09-01,4493,4493,4493,4493,0,45880
2021-09-02,4507.25,4507.25,4507.25,4507.25,0,45880
2021-09-03,4507.25,4507.25,4507.25,4507.25,0,45880
2021-09-07,4500.75,4500.75,4492,4492,10,45885
2021-09-08,4485.25,4485.25,4485.25,4485.25,0,45885
2021-09-09,4465,4465,4465,4465,0,45885
2021-09-10,4446.5,4446.5,4430.25,4430.25,1,45885
2021-09-13,4441.5,4441.5,4441.5,4441.5,26,45911
2021-09-14,4417.25,4417.25,4417.25,4417.25,3,45912
2021-09-15,4450,4454.25,4450,4454.25,2,45912
2021-09-16,4447,4447,4447,4447,17,45919
2021-09-17,4437.25,4437.25,4404.75,4404.75,17,45919
2021-09-20,4360,4360,4285.25,4323,78,45937
2021-09-21,4337.25,4371,4328.75,4328.75,97,46012
2021-09-22,4330.5,4380,4330.5,4380,28,46009
2021-09-23,4379,4419,4375,4419,29,45993
2021-09-24,4429.25,4435,4394,4428,29,45993
2021-09-27,4436,4453,4410,4415.5,512,46481
2021-09-28,4409.5,4409.75,4318,4326,148,46494
2021-09-29,4340.5,4358,4328.25,4332,121,46525
2021-09-30,4348.5,4362,4275.75,4280.75,207,46503
2021-10-01,4287.75,4333.25,4249,4326,73,46499
2021-10-04,4310,4329,4250,4273.5,45,46509
2021-10-05,4255,4341.25,4252,4316,83,46514
2021-10-06,4319.25,4336,4257,4336,61,46503
2021-10-07,4346,4403,4345.25,4372,16,46595
2021-10-08,4381,4383.75,4361,4364.5,16,46595
2021-10-11,4354.5,4383.5,4327,4333.25,19,46586
2021-10-12,4331.5,4344,4310,4323.25,43,46582
2021-10-13,4336.5,4338.25,4330.75,4337.75,441,46578
2021-10-14,4367.75,4412.5,4366.25,4411.75,91,46603
2021-10-15,4425,4445.25,4424.25,4445.25,53,46618
2021-10-18,4421.25,4462,4420.5,4460.75,37,46627
2021-10-19,4460,4500,4460,4494.5,40,46642
2021-10-20,4493,4511,4493,4511,4,46643
2021-10-21,4505.5,4526,4501.25,4525.25,34,46642
2021-10-22,4519,4534,4516,4520.5,34,46642
2021-10-25,4524,4543,4524,4542.25,23,46662
2021-10-26,4555,4570.5,4549.5,4549.5,122,46688
2021-10-27,4545.25,4559.5,4529,4529,291,46938
2021-10-28,4536.5,4574,4534,4572.25,68,46961
2021-10-29,4553.75,4587,4553.75,4582.5,25,46974
2021-11-01,4588.5,4600,4582,4591,108,47033
2021-11-02,4582.75,4610,4582.75,4608.25,16,47032
2021-11-03,4615.75,4637,4615.75,4637,14,47030
2021-11-04,4640,4660,4640,4657.75,24,47039
2021-11-05,4664,4696,4664,4674.5,166,47013
2021-11-08,4671.75,4690.75,4665,4678.5,28,47018
2021-11-09,4682,4682,4661.5,4662.5,6,47020
2021-11-10,4657.25,4658.25,4626.5,4626.5,17,47012
2021-11-11,4643.75,4643.75,4627.75,4627.75,3,47010
2021-11-12,4658.5,4663,4658.5,4663,1,47011
2021-11-15,4663.75,4663.75,4663.75,4663.75,0,47011
2021-11-16,4667.5,4693,4667.5,4681,27,47023
2021-11-17,4685,4685,4670.75,4671.25,13,47032
2021-11-18,4683.5,4686.25,4681.75,4686.25,3,47033
2021-11-19,4699,4705.75,4679.5,4679.5,178,47169
2021-11-22,4694,4723,4665.25,4665.25,40,47185
2021-11-23,4672.5,4676,4651,4674.25,39,47194
2021-11-24,4667.75,4685,4642.75,4685,111,47195
2021-11-26,4678,4678,4562.5,4580.5,446,47269
2021-11-29,4573.5,4654,4573.5,4636,147,47319
2021-11-30,4611.75,4620,4545,4551.5,289,47323
2021-12-01,4562,4634.75,4487.5,4494,159,47326
2021-12-02,4504.25,4574,4494,4561,114,47344
2021-12-03,4554,4589.5,4479.5,4522.75,114,47340
2021-12-06,4533,4596,4526.5,4575,70,47358
2021-12-07,4576,4682,4573,4670.5,135,47368
2021-12-08,4676.75,4696,4666.75,4684.25,268,47480
2021-12-09,4681.75,4689,4648.25,4651.75,712,47509
2021-12-10,4657.75,4695.5,4650,4695.5,598,47800
2021-12-13,4700,4714,4651.25,4651.25,379,47990
2021-12-14,4655.5,4669,4590,4620,477,48008
2021-12-15,4621,4695,4595.25,4692.75,1619,48610
2021-12-16,4698.5,4734,4637,4651.75,1133,49244
