Date,Open,High,Low,Close,Volume,Open Interest
2020-01-13,1.11275,1.11355,1.1113,1.1125,11.0,1322.0
2020-01-10,1.1107,1.1129,1.10865,1.11225,1115.0,1545.0
2020-01-09,1.11065,1.11255,1.1094,1.1108,1296.0,1863.0
2020-01-08,1.1169,1.1171,1.11075,1.11145,850.0,2236.0
2020-01-07,1.1196,1.12005,1.1138,1.11485,1850.0,1949.0
2020-01-06,1.1166,1.121,1.1163,1.11965,289.0,1940.0
2020-01-03,1.1174,1.1185,1.1131,1.1173,660.0,2119.0
2020-01-02,1.1213,1.122,1.11705,1.11735,714.0,2354.0
2019-12-31,1.12155,1.1247,1.12075,1.12375,337.0,2283.0
2019-12-30,1.12,1.123,1.11905,1.12125,3256.0,2078.0
2019-12-27,1.11215,1.1201,1.11165,1.12,802.0,1755.0
2019-12-26,1.11095,1.1126,1.11005,1.11215,646.0,1675.0
2019-12-24,1.11045,1.11105,1.1087,1.11055,59.0,1708.0
2019-12-23,1.108,1.1114,1.108,1.11125,313.0,1609.0
2019-12-20,1.1135,1.1142,1.10875,1.1096,732.0,1923.0
2019-12-19,1.11525,1.1165,1.1129,1.11445,693.0,1837.0
2019-12-18,1.1163,1.1176,1.1135,1.1139,606.0,2097.0
2019-12-17,1.11605,1.1199,1.11545,1.11715,728.0,2216.0
2019-12-16,1.1153,1.1183,1.1149,1.1173,1084.0,2284.0
2019-12-13,1.1165,1.1218,1.1138,1.1147,1213.0,2118.0
2019-12-12,1.11555,1.11815,1.11315,1.1141,2373.0,2135.0
2019-12-11,1.1126,1.1174,1.1101,1.1168,1581.0,2351.0
2019-12-10,1.10925,1.11275,1.10925,1.11265,2172.0,3613.0
2019-12-09,1.1085,1.1107,1.1083,1.1094,444.0,3494.0
2019-12-06,1.11305,1.11385,1.107,1.10855,132.0,3516.0
2019-12-05,1.1113,1.1138,1.11105,1.11305,555.0,3523.0
2019-12-04,1.11085,1.1144,1.10995,1.1107,906.0,3392.0
2019-12-03,1.1111,1.1127,1.11015,1.1115,1218.0,3242.0
2019-12-02,1.1058,1.1125,1.1039,1.1115,102.0,3234.0
2019-11-29,1.10425,1.1064,1.101,1.1053,733.0,3354.0
2019-11-27,1.10425,1.10605,1.1031,1.10435,415.0,3282.0
2019-11-26,1.10535,1.1063,1.10465,1.106,170.0,3274.0
2019-11-25,1.10705,1.1072,1.10445,1.10495,290.0,3114.0
2019-11-22,1.11105,1.1118,1.1055,1.1061,153.0,3092.0
2019-11-21,1.11285,1.11375,1.10935,1.11,700.0,2961.0
2019-11-20,1.1112,1.1124,1.1097,1.1113,286.0,2961.0
2019-11-19,1.11165,1.11265,1.1108,1.11215,198.0,3053.0
2019-11-18,1.1104,1.11295,1.1101,1.11185,25.0,3054.0
2019-11-15,1.1069,1.11015,1.1063,1.1097,85.0,3064.0
2019-11-14,1.1056,1.10685,1.10395,1.10675,717.0,2758.0
2019-11-13,1.1058,1.10645,1.1045,1.10505,95.0,2726.0
2019-11-12,1.108,1.1083,1.10555,1.10605,1357.0,2533.0
2019-11-11,1.10835,1.10885,1.10705,1.10835,81.0,2574.0
2019-11-08,1.10735,1.1102,1.1071,1.10735,853.0,2194.0
2019-11-07,1.10975,1.11375,1.10905,1.10975,243.0,2183.0
2019-11-06,1.1121,1.11405,1.1121,1.1121,5.0,2183.0
2019-11-05,1.118,1.11895,1.1118,1.1118,35.0,2157.0
2019-11-04,1.12255,1.1227,1.11825,1.11825,396.0,1995.0
2019-11-01,1.121,1.1224,1.11895,1.12205,85.0,2025.0
2019-10-31,1.1202,1.1229,1.1202,1.1202,216.0,2125.0
2019-10-30,1.1185,1.12065,1.11435,1.1185,726.0,1979.0
2019-10-29,1.1172,1.11755,1.11395,1.1172,718.0,1610.0
2019-10-28,1.1161,1.11655,1.11435,1.1161,960.0,830.0
2019-10-25,1.11765,1.1182,1.11405,1.1144,106.0,863.0
2019-10-24,1.1196,1.1222,1.11615,1.1173,30.0,854.0
2019-10-23,1.11955,1.12015,1.1177,1.11955,38.0,854.0
2019-10-22,1.11915,1.122,1.11895,1.11915,192.0,740.0
2019-10-21,1.1214,1.1243,1.12115,1.1214,106.0,756.0
2019-10-18,1.121,1.1237,1.1187,1.123,120.0,761.0
2019-10-17,1.1143,1.12055,1.11385,1.11925,509.0,857.0
2019-10-16,1.1129,1.1152,1.10965,1.1144,650.0,641.0
2019-10-15,1.1093,1.1112,1.1065,1.11055,682.0,394.0
2019-10-14,1.1102,1.1102,1.1091,1.1102,120.0,394.0
2019-10-11,1.11175,1.11305,1.1109,1.11155,42.0,359.0
2019-10-10,1.1082,1.11015,1.1049,1.1082,0.0,359.0
2019-10-09,1.10555,1.1064,1.105,1.1051,36.0,359.0
2019-10-08,1.10725,1.10725,1.103,1.10345,31.0,354.0
2019-10-07,1.10525,1.10725,1.10465,1.10525,2.0,354.0
2019-10-04,1.1064,1.1064,1.1047,1.1064,0.0,354.0
2019-10-03,1.10485,1.1074,1.103,1.1056,2.0,354.0
2019-10-02,1.1038,1.10445,1.0996,1.10445,3.0,354.0
2019-10-01,1.0974,1.10245,1.0974,1.10245,13.0,354.0
2019-09-30,1.1006,1.1008,1.0984,1.09915,38.0,340.0
2019-09-27,1.10295,1.1042,1.0999,1.10295,0.0,340.0
2019-09-26,1.1014,1.10525,1.10085,1.1021,151.0,287.0
2019-09-25,1.1086,1.1086,1.10365,1.10365,286.0,377.0
2019-09-24,1.1082,1.1114,1.1082,1.1114,373.0,178.0
2019-09-23,1.1115,1.1115,1.1054,1.109,82.0,98.0
2019-09-20,1.1101,1.1154,1.11,1.11085,22.0,96.0
2019-09-19,1.1151,1.11645,1.1151,1.1151,0.0,96.0
2019-09-18,1.1147,1.1165,1.1124,1.11265,148.0,50.0
2019-09-17,1.1163,1.1163,1.1163,1.1163,52.0,4.0
2019-09-16,1.1104,1.11655,1.1104,1.1104,0.0,4.0
2019-09-13,1.1165,1.1165,1.1165,1.1165,0.0,4.0
2019-09-12,1.1131,1.1171,1.104,1.1171,4.0,0.0
2019-09-11,1.111,1.111,1.111,1.111,0.0,0.0
2019-09-10,1.11515,1.11515,1.11515,1.11515,0.0,0.0
2019-09-09,1.11575,1.11575,1.11575,1.11575,0.0,0.0
2019-09-06,1.1136,1.1136,1.11325,1.1136,0.0,0.0
2019-09-05,1.11425,1.1146,1.11425,1.11425,0.0,0.0
2019-09-04,1.1141,1.1141,1.1141,1.1141,0.0,0.0
2019-09-03,1.10765,1.10765,1.10765,1.10765,0.0,0.0
2019-08-30,1.1088,1.1088,1.1088,1.1088,0.0,0.0
2019-08-29,1.11635,1.11635,1.11635,1.11635,0.0,0.0
2019-08-28,1.11945,1.11945,1.11945,1.11945,0.0,0.0
2019-08-27,1.12085,1.12085,1.12085,1.12085,0.0,0.0
2019-08-26,1.1215,1.1215,1.1215,1.1215,0.0,0.0
2019-08-23,1.1263,1.1263,1.1263,1.1263,0.0,0.0
2019-08-22,1.12035,1.12035,1.12035,1.12035,0.0,0.0
2019-08-21,1.12045,1.12045,1.12045,1.12045,0.0,0.0
2019-08-20,1.1216,1.1216,1.1216,1.1216,0.0,0.0
