Date,Open,High,Low,Close,Volume,Open Interest
2012-03-19,1.318,1.3187,1.3142,1.3158,6397.0,94662.0
2012-03-16,1.3081,1.3187,1.3049,1.3173,60285.0,100244.0
2012-03-15,1.3029,1.312,1.3004,1.3097,214662.0,134634.0
2012-03-14,1.3081,1.3091,1.3011,1.3023,270154.0,185142.0
2012-03-13,1.315,1.3192,1.3052,1.3073,320976.0,209660.0
2012-03-12,1.3115,1.316,1.308,1.3149,221268.0,209660.0
2012-03-09,1.3274,1.3277,1.3097,1.3107,305781.0,241468.0
2012-03-08,1.315,1.3292,1.3136,1.3273,287721.0,251209.0
2012-03-07,1.3119,1.3165,1.3096,1.3149,248812.0,255418.0
2012-03-06,1.3216,1.3227,1.3104,1.3106,280160.0,251386.0
2012-03-05,1.32,1.3244,1.3161,1.3227,220084.0,256376.0
2012-03-02,1.3317,1.3334,1.3188,1.3206,260475.0,255953.0
2012-03-01,1.3322,1.3357,1.3282,1.3316,246949.0,261452.0
2012-02-29,1.3458,1.3487,1.3315,1.3339,345051.0,260227.0
2012-02-28,1.3394,1.3473,1.339,1.3458,249958.0,264033.0
2012-02-27,1.346,1.3473,1.3367,1.3398,258265.0,268456.0
2012-02-24,1.337,1.3488,1.3358,1.346,263391.0,273084.0
2012-02-23,1.3249,1.3381,1.3232,1.3336,320686.0,279979.0
2012-02-22,1.323,1.3268,1.3212,1.3245,237786.0,281113.0
2012-02-21,1.3206,1.3295,1.3182,1.3247,384155.0,289422.0
2012-02-17,1.3134,1.3199,1.3116,1.3159,232493.0,288063.0
2012-02-16,1.3063,1.3161,1.2975,1.3141,358101.0,293224.0
2012-02-15,1.3134,1.3192,1.3045,1.3063,321142.0,285412.0
2012-02-14,1.3175,1.3218,1.308,1.3094,281612.0,281213.0
2012-02-13,1.3237,1.3285,1.3185,1.3205,208839.0,283051.0
2012-02-10,1.3288,1.3292,1.3157,1.3172,246746.0,284320.0
2012-02-09,1.3253,1.3325,1.3216,1.329,308588.0,278398.0
2012-02-08,1.326,1.329,1.3222,1.3253,276582.0,283869.0
2012-02-07,1.3126,1.328,1.3091,1.3248,384054.0,292722.0
2012-02-06,1.3123,1.3144,1.3028,1.3125,279682.0,294768.0
2012-02-03,1.3147,1.3217,1.3067,1.3154,357476.0,295198.0
2012-02-02,1.3169,1.3198,1.3086,1.3143,293365.0,299201.0
2012-02-01,1.3093,1.3221,1.3027,1.3158,348311.0,300708.0
2012-01-31,1.3143,1.3216,1.3043,1.3086,317544.0,298634.0
2012-01-30,1.3218,1.3224,1.3078,1.3126,218049.0,297295.0
2012-01-27,1.3107,1.3237,1.3078,1.3207,330983.0,302351.0
2012-01-26,1.3103,1.3186,1.3093,1.311,278414.0,305870.0
2012-01-25,1.3034,1.3124,1.2933,1.3087,365104.0,311623.0
2012-01-24,1.3017,1.3066,1.2956,1.3025,308012.0,306836.0
2012-01-23,1.2885,1.3056,1.288,1.302,270666.0,312052.0
2012-01-20,1.2969,1.2989,1.2889,1.2925,241329.0,303569.0
2012-01-19,1.2857,1.2975,1.2841,1.2937,285018.0,303769.0
2012-01-18,1.2741,1.2872,1.2736,1.284,353694.0,297914.0
2012-01-17,1.2642,1.2819,1.2628,1.2724,373019.0,301762.0
2012-01-13,1.2815,1.2884,1.2627,1.2672,400198.0,290209.0
2012-01-12,1.2713,1.2848,1.2702,1.2832,321555.0,296418.0
2012-01-11,1.2778,1.2794,1.2664,1.27,289318.0,291573.0
2012-01-10,1.2773,1.2824,1.2747,1.2795,217256.0,288544.0
2012-01-09,1.27,1.2791,1.2673,1.2761,186639.0,291543.0
2012-01-06,1.2798,1.282,1.2703,1.2729,227117.0,296662.0
2012-01-05,1.2948,1.2952,1.2777,1.2792,265963.0,291420.0
2012-01-04,1.3059,1.308,1.2904,1.2944,215905.0,280981.0
2012-01-03,1.3047,1.3085,1.302,1.3063,137083.0,282768.0
2011-12-30,1.2961,1.3008,1.2915,1.2968,115688.0,280275.0
2011-12-29,1.2954,1.2979,1.2869,1.2947,140609.0,284438.0
2011-12-28,1.3082,1.3095,1.2924,1.2953,176933.0,274303.0
2011-12-27,1.3089,1.3097,1.3072,1.3083,37817.0,272983.0
2011-12-23,1.3067,1.3109,1.304,1.3071,77605.0,272531.0
2011-12-22,1.3058,1.3133,1.3029,1.3058,146996.0,271048.0
2011-12-21,1.3092,1.3224,1.3038,1.3057,235122.0,264989.0
2011-12-20,1.3007,1.3142,1.3003,1.3084,191049.0,264580.0
2011-12-19,1.3047,1.3055,1.2993,1.3026,158175.0,258127.0
2011-12-16,1.3031,1.3096,1.3006,1.3037,228272.0,244984.0
2011-12-15,1.3,1.3065,1.2976,1.3025,144936.0,211277.0
2011-12-14,1.3047,1.3083,1.2965,1.2994,129919.0,165000.0
2011-12-13,1.3186,1.3254,1.3025,1.3055,165133.0,101524.0
2011-12-12,1.337,1.3387,1.3177,1.32,82633.0,79031.0
2011-12-09,1.3356,1.3447,1.3291,1.3381,40458.0,57707.0
2011-12-08,1.3419,1.3468,1.3296,1.3344,32754.0,41108.0
2011-12-07,1.3414,1.346,1.3357,1.3402,14223.0,31396.0
2011-12-06,1.3404,1.3436,1.3343,1.3418,8742.0,26786.0
2011-12-05,1.3429,1.3496,1.3385,1.341,9301.0,21069.0
2011-12-02,1.3476,1.3559,1.3374,1.3414,9890.0,14482.0
2011-12-01,1.345,1.353,1.3429,1.3465,6728.0,11093.0
2011-11-30,1.3357,1.3549,1.3286,1.3447,8447.0,10303.0
2011-11-29,1.3342,1.3466,1.331,1.3354,2749.0,9788.0
2011-11-28,1.3327,1.3421,1.3294,1.3325,2284.0,9148.0
2011-11-25,1.3375,1.3429,1.3236,1.3259,3232.0,8370.0
2011-11-23,1.3533,1.3545,1.3338,1.3346,2012.0,8056.0
2011-11-22,1.3508,1.3584,1.3487,1.3522,1637.0,7245.0
2011-11-21,1.3534,1.3558,1.3447,1.3512,1206.0,6847.0
2011-11-18,1.3478,1.3627,1.3463,1.3526,771.0,6589.0
2011-11-17,1.344,1.3552,1.3434,1.3478,1920.0,5902.0
2011-11-16,1.3516,1.3568,1.3442,1.3523,1111.0,5220.0
2011-11-15,1.3626,1.3645,1.3508,1.3553,1520.0,4416.0
2011-11-14,1.3789,1.3798,1.36,1.3619,320.0,4393.0
2011-11-11,1.3592,1.3799,1.3585,1.3754,591.0,4256.0
2011-11-10,1.3537,1.3657,1.3486,1.3588,992.0,4129.0
2011-11-09,1.3844,1.3855,1.3528,1.3545,1495.0,3941.0
2011-11-08,1.377,1.3846,1.3725,1.3841,443.0,3923.0
2011-11-07,1.3815,1.3815,1.3682,1.3772,285.0,3878.0
2011-11-04,1.3815,1.3874,1.3711,1.3774,463.0,3778.0
2011-11-03,1.3702,1.3855,1.3658,1.3832,2111.0,2996.0
2011-11-02,1.3701,1.3825,1.3637,1.3758,422.0,3100.0
2011-11-01,1.3837,1.386,1.3606,1.3708,1543.0,2465.0
2011-10-31,1.4143,1.416,1.3823,1.3917,927.0,2514.0
2011-10-28,1.4168,1.4187,1.4123,1.4144,485.0,2472.0
2011-10-27,1.3896,1.4235,1.3859,1.4196,1680.0,2763.0
2011-10-26,1.39,1.3966,1.3791,1.3888,792.0,2588.0
2011-10-25,1.3907,1.3941,1.3857,1.3918,331.0,2584.0
2011-10-24,1.3824,1.3941,1.3819,1.3937,418.0,2537.0
2011-10-21,1.3765,1.3891,1.3696,1.3856,265.0,2560.0
2011-10-20,1.3745,1.383,1.3648,1.376,370.0,2435.0
2011-10-19,1.3732,1.385,1.3721,1.3736,642.0,2147.0
2011-10-18,1.3755,1.3806,1.3645,1.3731,367.0,2147.0
2011-10-17,1.3869,1.3898,1.3712,1.3731,526.0,2294.0
2011-10-14,1.3756,1.388,1.3713,1.3867,932.0,2294.0
2011-10-13,1.377,1.3812,1.3675,1.3773,526.0,2064.0
2011-10-12,1.3616,1.3819,1.3574,1.3775,433.0,1881.0
2011-10-11,1.3621,1.3671,1.3558,1.3651,230.0,1796.0
2011-10-10,1.338,1.3686,1.3373,1.3652,340.0,1717.0
2011-10-07,1.3425,1.352,1.3356,1.3382,713.0,1665.0
2011-10-06,1.3329,1.345,1.324,1.3417,387.0,1681.0
