Date,Open,High,Low,Close,Volume,Open Interest
2017-04-17,1.06155,1.06615,1.0615,1.06615,109.0,710.0
2017-04-13,1.0662,1.06785,1.06085,1.06225,821.0,645.0
2017-04-12,1.0603,1.0675,1.059,1.0596,438.0,790.0
2017-04-11,1.0601,1.06325,1.0582,1.06105,227.0,854.0
2017-04-10,1.0588,1.061,1.0574,1.05975,488.0,971.0
2017-04-07,1.06475,1.0673,1.0585,1.05925,586.0,797.0
2017-04-06,1.0688,1.0688,1.0634,1.0651,386.0,803.0
2017-04-05,1.06805,1.0694,1.064,1.06715,488.0,891.0
2017-04-04,1.06725,1.06825,1.06425,1.0674,313.0,912.0
2017-04-03,1.0695,1.0695,1.06495,1.0673,359.0,854.0
2017-03-31,1.0673,1.07085,1.06595,1.06905,558.0,710.0
2017-03-30,1.0772,1.0776,1.06795,1.0697,408.0,757.0
2017-03-29,1.08235,1.08365,1.07515,1.0768,517.0,927.0
2017-03-28,1.0874,1.0883,1.0811,1.08195,705.0,1003.0
2017-03-27,1.0849,1.0917,1.0849,1.088,958.0,891.0
2017-03-24,1.07785,1.08305,1.07745,1.08195,255.0,880.0
2017-03-23,1.08045,1.08185,1.0783,1.0799,747.0,898.0
2017-03-22,1.08205,1.08395,1.07915,1.0812,700.0,1067.0
2017-03-21,1.0752,1.08345,1.0736,1.0815,521.0,1146.0
2017-03-20,1.0755,1.0793,1.0742,1.07485,611.0,1297.0
2017-03-17,1.07875,1.07985,1.0745,1.0758,526.0,1308.0
2017-03-16,1.0755,1.07865,1.07225,1.07655,748.0,1330.0
2017-03-15,1.06285,1.0765,1.06235,1.0721,1348.0,1408.0
2017-03-14,1.0671,1.06795,1.0618,1.06285,1926.0,1469.0
2017-03-13,1.06995,1.0732,1.06705,1.06775,1412.0,1321.0
2017-03-10,1.0592,1.07175,1.05915,1.07105,2155.0,849.0
2017-03-09,1.05545,1.06335,1.0545,1.0612,1062.0,547.0
2017-03-08,1.05945,1.05945,1.0556,1.05685,491.0,485.0
2017-03-07,1.06005,1.06235,1.05795,1.05885,333.0,515.0
2017-03-06,1.0637,1.06605,1.05965,1.06085,885.0,555.0
2017-03-03,1.0527,1.06455,1.05245,1.06195,1215.0,316.0
2017-03-02,1.05605,1.05705,1.05165,1.0523,516.0,307.0
2017-03-01,1.05985,1.0612,1.0538,1.0567,499.0,246.0
2017-02-28,1.05985,1.0653,1.059,1.0616,346.0,151.0
2017-02-27,1.05905,1.0654,1.05765,1.0612,564.0,0.0
