Date,Open,High,Low,Close,Volume,Open Interest
2018-05-14,1.1944,1.19955,1.1944,1.19825,813.0,9830.0
2018-05-11,1.1909,1.1968,1.1893,1.1944,1956.0,9578.0
2018-05-10,1.1869,1.19455,1.18555,1.19275,8251.0,4355.0
2018-05-09,1.1865,1.1892,1.18275,1.18655,2906.0,4583.0
2018-05-08,1.19295,1.19325,1.1845,1.18615,3174.0,2746.0
2018-05-07,1.1976,1.1976,1.1904,1.19295,675.0,2696.0
2018-05-04,1.19905,1.1996,1.1924,1.19695,3311.0,1993.0
2018-05-03,1.1984,1.2013,1.19645,1.2,4701.0,1515.0
2018-05-02,1.20035,1.20365,1.1948,1.19955,4293.0,1571.0
2018-05-01,1.2088,1.2088,1.1997,1.20055,1914.0,1319.0
2018-04-30,1.2132,1.21445,1.2078,1.20925,916.0,1070.0
2018-04-27,1.2118,1.2142,1.207,1.21335,2893.0,1781.0
2018-04-26,1.219,1.22215,1.21145,1.21195,3205.0,1104.0
2018-04-25,1.22475,1.22475,1.21775,1.21935,817.0,1137.0
2018-04-24,1.2225,1.2262,1.22,1.2254,601.0,1206.0
2018-04-23,1.22995,1.23035,1.222,1.22225,1652.0,1150.0
2018-04-20,1.23645,1.23715,1.22715,1.23015,4554.0,1456.0
2018-04-19,1.2395,1.24085,1.2357,1.2357,2234.0,1239.0
2018-04-18,1.23975,1.24185,1.2365,1.23995,1698.0,1535.0
2018-04-17,1.2403,1.24315,1.236,1.23905,980.0,1423.0
2018-04-16,1.2355,1.2415,1.2352,1.2406,530.0,1291.0
2018-04-13,1.23535,1.23655,1.234,1.23575,846.0,1384.0
2018-04-12,1.2402,1.2405,1.233,1.23555,1214.0,1351.0
2018-04-11,1.2392,1.2426,1.23765,1.2391,1731.0,954.0
2018-04-10,1.2356,1.2402,1.2339,1.239,1269.0,1035.0
2018-04-09,1.2307,1.236,1.22925,1.2352,552.0,1100.0
2018-04-06,1.22825,1.232,1.22485,1.23175,267.0,1133.0
2018-04-05,1.23205,1.23205,1.22525,1.22695,1386.0,1142.0
2018-04-04,1.2312,1.235,1.2295,1.23165,1284.0,953.0
2018-04-03,1.2352,1.237,1.229,1.2304,1148.0,1067.0
2018-04-02,1.2351,1.238,1.232,1.2337,88.0,1041.0
2018-03-29,1.2346,1.237,1.2322,1.23275,1378.0,1237.0
2018-03-28,1.24455,1.24495,1.2347,1.23495,3868.0,850.0
2018-03-27,1.2489,1.2514,1.2423,1.24455,1608.0,930.0
2018-03-26,1.24115,1.2502,1.24005,1.2502,1137.0,896.0
2018-03-23,1.23805,1.242,1.2365,1.2414,1958.0,959.0
2018-03-22,1.2395,1.243,1.234,1.2355,1574.0,1144.0
2018-03-21,1.2315,1.2389,1.2298,1.23795,1881.0,1328.0
2018-03-20,1.2389,1.2398,1.23,1.23045,811.0,1415.0
2018-03-19,1.2339,1.2412,1.2315,1.2412,735.0,1187.0
2018-03-16,1.2365,1.2382,1.23195,1.23395,1562.0,1238.0
2018-03-15,1.24385,1.24385,1.236,1.2362,1884.0,1055.0
2018-03-14,1.24675,1.24675,1.2414,1.24355,1968.0,966.0
2018-03-13,1.23995,1.24675,1.23855,1.2458,1145.0,1036.0
2018-03-12,1.23815,1.24045,1.23515,1.23965,1508.0,626.0
2018-03-09,1.236,1.239,1.2335,1.23755,591.0,673.0
2018-03-08,1.24675,1.25,1.236,1.2367,2580.0,637.0
2018-03-07,1.24785,1.2516,1.2457,1.2469,1179.0,559.0
2018-03-06,1.2403,1.2477,1.2403,1.2469,690.0,562.0
2018-03-05,1.2391,1.241,1.2346,1.23905,1139.0,867.0
2018-03-02,1.2339,1.24,1.2323,1.2396,1014.0,1027.0
2018-03-01,1.226,1.2335,1.2232,1.232,1767.0,779.0
2018-02-28,1.22975,1.23065,1.22575,1.22705,2850.0,962.0
2018-02-27,1.24,1.24115,1.229,1.2306,1532.0,734.0
2018-02-26,1.2349,1.24235,1.2349,1.238,804.0,507.0
2018-02-23,1.24,1.2403,1.23495,1.23655,442.0,586.0
2018-02-22,1.2347,1.241,1.23305,1.2401,1640.0,605.0
2018-02-21,1.239,1.2422,1.236,1.2374,654.0,499.0
2018-02-20,1.2487,1.2498,1.23935,1.24085,677.0,324.0
2018-02-16,1.2597,1.26305,1.24775,1.2491,373.0,421.0
2018-02-15,1.25325,1.25845,1.25305,1.2582,418.0,388.0
