Date,Open,High,Low,Close,Volume,Open Interest
2002-06-17,0.9416,0.9434,0.9412,0.9429,5742.0,43449.0
2002-06-14,0.9479,0.9518,0.9428,0.9454,8108.0,47779.0
2002-06-13,0.9416,0.9472,0.9411,0.9418,9190.0,53180.0
2002-06-12,0.9456,0.9478,0.9434,0.9444,26729.0,59204.0
2002-06-11,0.9419,0.9472,0.9404,0.947,36928.0,80172.0
2002-06-10,0.9457,0.9477,0.9411,0.9432,22566.0,103863.0
2002-06-07,0.9444,0.9487,0.9425,0.9438,17934.0,111395.0
2002-06-06,0.9384,0.9469,0.9371,0.9453,18740.0,126398.0
2002-06-05,0.9373,0.9393,0.9347,0.9389,14539.0,129576.0
2002-06-04,0.943,0.9442,0.94,0.9408,15324.0,132435.0
2002-06-03,0.9306,0.9391,0.9304,0.9372,15344.0,135905.0
2002-05-31,0.9381,0.9383,0.9276,0.9317,28188.0,137033.0
2002-05-30,0.9364,0.9407,0.9356,0.9381,15393.0,130836.0
2002-05-29,0.9307,0.9362,0.9289,0.9358,19561.0,133614.0
2002-05-28,0.9254,0.9298,0.9245,0.9284,12524.0,135276.0
2002-05-24,0.9175,0.9222,0.9168,0.9202,9569.0,133619.0
2002-05-23,0.92,0.923,0.9171,0.9206,10976.0,131594.0
2002-05-22,0.9253,0.9267,0.9231,0.9252,11863.0,132133.0
2002-05-21,0.9206,0.9209,0.9151,0.919,13002.0,129938.0
2002-05-20,0.9185,0.9216,0.9168,0.9212,10011.0,129130.0
2002-05-17,0.9144,0.9208,0.9143,0.9203,16512.0,133858.0
2002-05-16,0.9116,0.9129,0.9074,0.9106,7762.0,130650.0
2002-05-15,0.9015,0.9106,0.9014,0.9101,14669.0,130175.0
2002-05-14,0.9046,0.9051,0.8998,0.901,15820.0,126855.0
2002-05-13,0.9103,0.9115,0.9083,0.9105,13021.0,125909.0
2002-05-10,0.91,0.9125,0.9092,0.9122,8316.0,127372.0
2002-05-09,0.9048,0.9098,0.9033,0.9075,11396.0,127337.0
2002-05-08,0.907,0.9084,0.9021,0.9037,26641.0,128784.0
2002-05-07,0.9107,0.9143,0.9099,0.9135,15824.0,131063.0
2002-05-06,0.913,0.9152,0.912,0.915,13895.0,131527.0
2002-05-03,0.9065,0.9159,0.9059,0.915,21340.0,128704.0
