Date,Open,High,Low,Close,Volume,Open Interest
2021-07-19,1.1802,1.1824,1.17645,1.1819,55.0,2124.0
2021-07-16,1.18135,1.1822,1.17925,1.1809,376.0,2017.0
2021-07-15,1.1837,1.18505,1.17975,1.18075,612.0,2269.0
2021-07-14,1.1779,1.18395,1.1774,1.1831,1454.0,1762.0
2021-07-13,1.18645,1.1876,1.1774,1.1783,324.0,1752.0
2021-07-12,1.18645,1.1881,1.18385,1.18595,131.0,1794.0
2021-07-09,1.1851,1.18825,1.18275,1.18785,112.0,1812.0
2021-07-08,1.17865,1.18695,1.17865,1.18415,1157.0,2164.0
2021-07-07,1.1823,1.1839,1.17845,1.18085,149.0,2146.0
2021-07-06,1.1863,1.1898,1.18095,1.18265,341.0,2187.0
2021-07-02,1.1848,1.1877,1.18115,1.18475,362.0,2199.0
2021-07-01,1.18555,1.18875,1.18415,1.1845,171.0,2196.0
2021-06-30,1.19045,1.1913,1.18505,1.1852,289.0,2223.0
2021-06-29,1.1934,1.1934,1.18835,1.1907,360.0,2288.0
2021-06-28,1.1928,1.195,1.19085,1.19285,449.0,2310.0
2021-06-25,1.19435,1.198,1.19325,1.19365,486.0,2360.0
2021-06-24,1.19375,1.19615,1.1924,1.1937,448.0,2450.0
2021-06-23,1.19475,1.1976,1.19185,1.19355,550.0,2379.0
2021-06-22,1.19195,1.1959,1.1888,1.1943,579.0,2345.0
2021-06-21,1.188,1.19275,1.1855,1.19165,621.0,2365.0
2021-06-18,1.19155,1.1931,1.1852,1.1879,1762.0,2281.0
2021-06-17,1.20015,1.2013,1.1899,1.1918,888.0,2243.0
2021-06-16,1.2133,1.2142,1.20035,1.2026,457.0,2314.0
2021-06-15,1.2127,1.2155,1.211,1.21335,254.0,2375.0
2021-06-14,1.2111,1.21385,1.21035,1.21265,298.0,2440.0
2021-06-11,1.21805,1.2201,1.2101,1.2111,1167.0,2256.0
2021-06-10,1.2187,1.2203,1.215,1.21805,1210.0,2131.0
2021-06-09,1.21855,1.2227,1.2182,1.2189,418.0,2037.0
2021-06-08,1.2202,1.22035,1.2175,1.21895,132.0,2078.0
2021-06-07,1.2175,1.22115,1.2155,1.2205,126.0,2057.0
2021-06-04,1.2138,1.21955,1.2115,1.21755,563.0,1975.0
2021-06-03,1.2221,1.22245,1.21295,1.2136,401.0,1935.0
2021-06-02,1.2234,1.22375,1.2176,1.2223,284.0,1907.0
