Date,Open,High,Low,Close,Volume,Open Interest
2021-08-16,1.1794,1.18005,1.1768,1.17815,56.0,1079.0
2021-08-13,1.1733,1.18045,1.1731,1.1795,938.0,1118.0
2021-08-12,1.1745,1.1748,1.1724,1.173,251.0,1089.0
2021-08-11,1.17165,1.17545,1.17075,1.1739,156.0,1113.0
2021-08-10,1.17395,1.17435,1.17115,1.1723,208.0,1155.0
2021-08-09,1.1759,1.177,1.1737,1.1742,313.0,1085.0
2021-08-06,1.18335,1.18335,1.17565,1.1759,219.0,1125.0
2021-08-05,1.1835,1.1859,1.18305,1.1838,153.0,1104.0
2021-08-04,1.1872,1.1902,1.18355,1.18415,424.0,1200.0
2021-08-03,1.1878,1.1896,1.1857,1.1866,224.0,1255.0
2021-08-02,1.1871,1.19,1.18625,1.1876,526.0,1182.0
2021-07-30,1.1883,1.19115,1.18555,1.18595,321.0,1201.0
2021-07-29,1.18475,1.1897,1.1845,1.18945,333.0,1129.0
2021-07-28,1.18175,1.18535,1.17775,1.1843,552.0,1175.0
2021-07-27,1.1816,1.1845,1.1775,1.18275,565.0,1220.0
2021-07-26,1.17775,1.1822,1.1769,1.1806,377.0,1237.0
2021-07-23,1.1773,1.17905,1.176,1.1776,539.0,1281.0
2021-07-22,1.17975,1.18355,1.17635,1.1777,946.0,1501.0
2021-07-21,1.1789,1.18105,1.17585,1.1806,702.0,1431.0
2021-07-20,1.1804,1.1808,1.17625,1.1788,381.0,1374.0
2021-07-19,1.1812,1.18305,1.17705,1.17975,484.0,1427.0
2021-07-16,1.18205,1.18285,1.1799,1.18155,423.0,1318.0
2021-07-15,1.18415,1.1857,1.1804,1.1814,329.0,1343.0
2021-07-14,1.1787,1.18465,1.178,1.1838,611.0,1227.0
2021-07-13,1.18705,1.18855,1.17805,1.17895,357.0,1165.0
2021-07-12,1.18825,1.1888,1.1845,1.1866,202.0,1134.0
2021-07-09,1.1857,1.1889,1.1834,1.1885,299.0,1217.0
2021-07-08,1.1807,1.1876,1.17915,1.1848,488.0,1068.0
2021-07-07,1.184,1.1845,1.1791,1.1815,200.0,1082.0
2021-07-06,1.18675,1.1904,1.1816,1.1833,245.0,1114.0
2021-07-02,1.1862,1.18835,1.18185,1.1854,522.0,1067.0
2021-07-01,1.18585,1.1894,1.1848,1.18515,242.0,1067.0
2021-06-30,1.1914,1.19195,1.1857,1.18585,79.0,1084.0
2021-06-29,1.1935,1.19405,1.189,1.19135,62.0,1089.0
2021-06-28,1.19515,1.1956,1.1915,1.19355,81.0,1112.0
2021-06-25,1.1956,1.1987,1.1939,1.1943,23.0,1117.0
