Date,Open,High,Low,Close,Volume,Open Interest
2001-09-17,0.927,0.9285,0.924,0.927,20704.0,35775.0
2001-09-14,0.9227,0.9245,0.918,0.9215,2555.0,52647.0
2001-09-13,0.9058,0.9123,0.9056,0.9121,32058.0,58904.0
2001-09-11,0.8965,0.9095,0.8965,0.9067,3018.0,73217.0
2001-09-10,0.9041,0.9041,0.8978,0.9,25392.0,74092.0
2001-09-07,0.8946,0.9065,0.8941,0.9051,31163.0,78203.0
2001-09-06,0.8852,0.8961,0.884,0.8947,21156.0,88355.0
2001-09-05,0.8883,0.8901,0.8857,0.8863,14299.0,93370.0
2001-09-04,0.897,0.8998,0.8845,0.8858,38526.0,97105.0
2001-08-31,0.9144,0.9157,0.9064,0.9097,26026.0,106023.0
2001-08-30,0.9092,0.9183,0.9074,0.9172,24052.0,109056.0
2001-08-29,0.9114,0.9124,0.9081,0.91,11896.0,106412.0
2001-08-28,0.9038,0.9122,0.9024,0.9107,21301.0,108239.0
2001-08-27,0.9087,0.9118,0.9082,0.9112,9112.0,104219.0
2001-08-24,0.9101,0.9145,0.9073,0.9125,14511.0,103868.0
2001-08-23,0.9114,0.9163,0.911,0.9149,12957.0,103347.0
2001-08-22,0.9214,0.9226,0.9135,0.9137,18114.0,106192.0
2001-08-21,0.9121,0.9141,0.9072,0.9124,9192.0,105486.0
2001-08-20,0.9138,0.9156,0.9104,0.9131,12698.0,105584.0
2001-08-17,0.9139,0.9172,0.9114,0.9167,12761.0,109563.0
2001-08-16,0.9132,0.9165,0.9086,0.9135,20644.0,107647.0
2001-08-15,0.9099,0.9132,0.9086,0.9118,27183.0,107739.0
2001-08-14,0.8961,0.903,0.8941,0.9021,14951.0,96094.0
2001-08-13,0.8985,0.9,0.8965,0.8969,12733.0,97033.0
2001-08-10,0.8935,0.8951,0.8912,0.8925,14123.0,96639.0
2001-08-09,0.8845,0.8932,0.8837,0.8917,23573.0,95687.0
2001-08-08,0.8753,0.8799,0.8746,0.8798,10933.0,91447.0
2001-08-07,0.8761,0.8777,0.8746,0.8763,10032.0,91386.0
2001-08-06,0.8793,0.8818,0.8777,0.881,11725.0,92667.0
2001-08-03,0.8797,0.8865,0.8768,0.8833,18692.0,93143.0
2001-08-02,0.8784,0.8824,0.8777,0.8821,11737.0,90496.0
2001-08-01,0.8808,0.8809,0.8775,0.8802,12594.0,89034.0
2001-07-31,0.8746,0.8773,0.8715,0.8742,10926.0,87073.0
2001-07-30,0.8744,0.8762,0.8725,0.874,6744.0,85200.0
2001-07-27,0.8757,0.8797,0.8714,0.8754,15798.0,85387.0
2001-07-26,0.8757,0.8782,0.8738,0.8772,10984.0,83664.0
2001-07-25,0.8765,0.8803,0.8765,0.8793,15263.0,84452.0
2001-07-24,0.8693,0.8752,0.8692,0.8741,14737.0,84558.0
2001-07-23,0.8662,0.8689,0.8643,0.8676,13387.0,84286.0
2001-07-20,0.8769,0.8774,0.8693,0.8704,14562.0,84517.0
2001-07-19,0.871,0.8726,0.8668,0.8704,21109.0,84053.0
2001-07-18,0.8616,0.8726,0.861,0.8712,30264.0,84981.0
2001-07-17,0.8509,0.8598,0.8494,0.8577,24993.0,81829.0
2001-07-16,0.8572,0.8577,0.8532,0.854,9694.0,80702.0
2001-07-13,0.8528,0.8545,0.85,0.8528,7710.0,80843.0
2001-07-12,0.8526,0.8542,0.8495,0.8524,11316.0,80926.0
2001-07-11,0.8604,0.863,0.8562,0.8583,18948.0,80995.0
2001-07-10,0.8535,0.8562,0.8514,0.8536,18384.0,81379.0
2001-07-09,0.8447,0.8495,0.8442,0.8466,12298.0,80477.0
2001-07-06,0.838,0.8465,0.8377,0.8461,19597.0,81606.0
2001-07-05,0.8412,0.8418,0.8344,0.8354,20980.0,80524.0
2001-07-03,0.8482,0.8487,0.8452,0.8468,7349.0,75652.0
2001-07-02,0.8444,0.8462,0.8432,0.8452,6298.0,76994.0
2001-06-29,0.8469,0.8486,0.8448,0.8482,8971.0,76144.0
2001-06-28,0.8498,0.8503,0.8424,0.8432,25911.0,77555.0
2001-06-27,0.8599,0.8615,0.8573,0.8593,11213.0,73180.0
2001-06-26,0.8598,0.8624,0.858,0.8618,10734.0,74281.0
2001-06-25,0.8595,0.861,0.8577,0.859,13236.0,75223.0
2001-06-22,0.8515,0.8561,0.8508,0.8543,7479.0,72865.0
2001-06-21,0.8531,0.8553,0.8499,0.8537,10208.0,72026.0
2001-06-20,0.8494,0.8542,0.8481,0.853,8042.0,71328.0
2001-06-19,0.8549,0.8565,0.851,0.8525,9240.0,71946.0
2001-06-18,0.8567,0.8615,0.8563,0.8593,9406.0,71887.0
2001-06-15,0.8648,0.8656,0.8585,0.8601,25211.0,69674.0
2001-06-14,0.8476,0.8621,0.8475,0.8615,40335.0,66878.0
2001-06-13,0.8529,0.8554,0.8498,0.8517,26446.0,57909.0
2001-06-12,0.8459,0.8486,0.8457,0.8482,29891.0,49875.0
2001-06-11,0.8473,0.8478,0.8398,0.8425,27503.0,35551.0
2001-06-08,0.8459,0.8504,0.845,0.8499,9816.0,20610.0
2001-06-07,0.8452,0.8505,0.8451,0.8492,6694.0,17613.0
2001-06-06,0.8529,0.8529,0.8435,0.8467,3736.0,12904.0
2001-06-05,0.8456,0.8518,0.8447,0.8512,3024.0,9873.0
2001-06-04,0.8498,0.8504,0.843,0.8446,2330.0,8140.0
2001-06-01,0.847,0.8478,0.8421,0.8465,2367.0,7076.0
2001-05-31,0.8466,0.8468,0.8431,0.8447,1224.0,5164.0
2001-05-30,0.857,0.857,0.8551,0.8555,1504.0,4685.0
2001-05-29,0.8539,0.8552,0.8517,0.8546,908.0,3225.0
2001-05-25,0.8573,0.8573,0.8539,0.8568,37.0,2968.0
2001-05-24,0.858,0.8585,0.8552,0.8552,725.0,2945.0
2001-05-23,0.857,0.8599,0.8536,0.8548,253.0,2612.0
2001-05-22,0.8665,0.8668,0.8618,0.8638,592.0,2492.0
2001-05-21,0.8733,0.8762,0.8733,0.8755,229.0,2201.0
2001-05-18,0.876,0.8785,0.8743,0.8782,310.0,2078.0
2001-05-17,0.8799,0.8814,0.878,0.8814,65.0,1955.0
2001-05-16,0.8815,0.8845,0.8815,0.8828,276.0,1941.0
2001-05-15,0.876,0.8781,0.8757,0.8768,451.0,2040.0
2001-05-14,0.8735,0.8735,0.8718,0.873,52.0,1843.0
2001-05-11,0.8764,0.877,0.8733,0.8749,331.0,1798.0
2001-05-10,0.8828,0.8828,0.8775,0.8798,210.0,1796.0
2001-05-09,0.8804,0.8829,0.8804,0.8827,30.0,1669.0
