Date,Open,High,Low,Close,Volume,Open Interest
2020-10-19,1.1715,1.1788,1.1704,1.17825,188.0,2044.0
2020-10-16,1.17025,1.1746,1.16945,1.17185,508.0,2114.0
2020-10-15,1.17465,1.17575,1.16895,1.16975,467.0,2315.0
2020-10-14,1.175,1.1772,1.1721,1.1752,216.0,2373.0
2020-10-13,1.1807,1.1816,1.17325,1.1746,194.0,2420.0
2020-10-12,1.1821,1.18275,1.1789,1.1811,754.0,2934.0
2020-10-09,1.1772,1.1832,1.176,1.18265,272.0,2957.0
2020-10-08,1.17665,1.1783,1.1735,1.17595,280.0,2934.0
2020-10-07,1.17395,1.1784,1.1728,1.177,460.0,3011.0
2020-10-06,1.179,1.181,1.17355,1.1756,792.0,3036.0
2020-10-05,1.17145,1.18005,1.17125,1.1779,1101.0,3045.0
2020-10-02,1.17465,1.17505,1.17005,1.17165,331.0,3094.0
2020-10-01,1.173,1.1773,1.17215,1.175,412.0,3043.0
2020-09-30,1.17425,1.17585,1.169,1.1722,725.0,3085.0
2020-09-29,1.168,1.175,1.16705,1.1742,591.0,3055.0
2020-09-28,1.1639,1.16855,1.1621,1.1669,448.0,3049.0
2020-09-25,1.1678,1.169,1.16185,1.16275,485.0,2901.0
2020-09-24,1.1669,1.1692,1.1633,1.16715,448.0,2926.0
2020-09-23,1.17105,1.1725,1.1658,1.1664,823.0,3140.0
2020-09-22,1.17765,1.17775,1.1699,1.1712,879.0,3232.0
2020-09-21,1.18555,1.18785,1.1739,1.1762,786.0,3266.0
2020-09-18,1.18615,1.18775,1.18345,1.186,657.0,3428.0
2020-09-17,1.1817,1.18595,1.1736,1.1847,1195.0,3510.0
2020-09-16,1.1847,1.1891,1.1797,1.1807,959.0,3377.0
2020-09-15,1.1876,1.19085,1.1849,1.18625,872.0,3466.0
2020-09-14,1.1845,1.18965,1.1842,1.18745,702.0,3318.0
2020-09-11,1.18325,1.1883,1.1831,1.1841,1251.0,3184.0
2020-09-10,1.18175,1.19265,1.18115,1.18355,2734.0,3309.0
2020-09-09,1.1782,1.1844,1.1764,1.18185,1223.0,3272.0
2020-09-08,1.1845,1.1859,1.1774,1.1792,1288.0,2703.0
2020-09-04,1.18675,1.1876,1.17895,1.18625,521.0,2663.0
2020-09-03,1.1844,1.18755,1.1801,1.1868,446.0,2691.0
2020-09-02,1.1932,1.194,1.18345,1.18375,926.0,2793.0
2020-09-01,1.19495,1.2023,1.19145,1.19225,1142.0,2715.0
2020-08-31,1.1919,1.1978,1.18975,1.1949,460.0,2650.0
2020-08-28,1.1839,1.1932,1.18245,1.1904,740.0,2479.0
2020-08-27,1.1839,1.19145,1.17755,1.1837,1186.0,2627.0
2020-08-26,1.185,1.1852,1.17865,1.18285,478.0,2571.0
2020-08-25,1.1804,1.1857,1.17985,1.1847,624.0,2571.0
2020-08-24,1.1808,1.1863,1.1798,1.18065,310.0,2538.0
2020-08-21,1.1888,1.18965,1.1769,1.1802,547.0,2477.0
2020-08-20,1.1856,1.1882,1.18175,1.1867,364.0,2430.0
2020-08-19,1.1952,1.19675,1.1846,1.1871,448.0,2398.0
2020-08-18,1.1884,1.1981,1.1884,1.19545,604.0,2338.0
2020-08-17,1.1869,1.1896,1.1845,1.18815,589.0,2313.0
2020-08-14,1.18305,1.1866,1.17985,1.1854,208.0,2383.0
2020-08-13,1.1822,1.188,1.18105,1.18155,523.0,2314.0
2020-08-12,1.17475,1.1833,1.17285,1.1801,285.0,2302.0
2020-08-11,1.17535,1.1824,1.17395,1.1763,743.0,2258.0
2020-08-10,1.1804,1.1817,1.17545,1.17615,179.0,2260.0
2020-08-07,1.1882,1.18995,1.17735,1.18,304.0,2379.0
2020-08-06,1.1896,1.19325,1.18365,1.1893,644.0,2332.0
2020-08-05,1.183,1.19235,1.18185,1.1879,1961.0,2071.0
2020-08-04,1.1783,1.1824,1.17405,1.18005,1090.0,2091.0
2020-08-03,1.18025,1.18155,1.17155,1.1779,609.0,2019.0
2020-07-31,1.1864,1.1927,1.1782,1.18085,1273.0,2015.0
2020-07-30,1.1804,1.1867,1.17515,1.18565,850.0,2079.0
2020-07-29,1.1747,1.18265,1.1736,1.17865,1297.0,1364.0
2020-07-28,1.17855,1.17945,1.1721,1.1745,462.0,1365.0
2020-07-27,1.169,1.1799,1.169,1.1772,616.0,1479.0
2020-07-24,1.1635,1.1676,1.16035,1.16585,648.0,1314.0
2020-07-23,1.15895,1.1648,1.1563,1.16305,704.0,1202.0
2020-07-22,1.15565,1.16235,1.153,1.15915,612.0,943.0
2020-07-21,1.14715,1.1562,1.14465,1.15535,862.0,643.0
2020-07-20,1.1444,1.149,1.14265,1.14645,1219.0,570.0
2020-07-17,1.1413,1.14665,1.1401,1.1461,237.0,553.0
2020-07-16,1.14395,1.1464,1.1394,1.1401,566.0,186.0
