Date,Open,High,Low,Close,Volume,Open Interest
2022-07-18,1.02455,1.02455,1.02455,1.02455,0,0
2022-07-19,1.0324,1.0324,1.0324,1.0324,0,0
2022-07-20,1.02685,1.02685,1.02685,1.02685,0,0
2022-07-21,1.02785,1.02785,1.02785,1.02785,0,0
2022-07-22,1.0281,1.0281,1.0281,1.0281,0,0
2022-07-25,1.0307,1.0307,1.0307,1.0307,0,0
2022-07-26,1.02065,1.02065,1.02065,1.02065,0,0
2022-07-27,1.02805,1.02805,1.02805,1.02805,0,0
2022-07-28,1.0255,1.0255,1.0255,1.0255,0,0
2022-07-29,1.0298,1.0298,1.0298,1.0298,0,0
2022-08-01,1.0314,1.0331,1.0314,1.0331,1,1
2022-08-02,1.0289,1.0289,1.02485,1.02485,1,1
2022-08-03,1.0229,1.0229,1.0229,1.0229,0,1
2022-08-04,1.0323,1.0323,1.0323,1.0323,0,1
2022-08-05,1.0249,1.0249,1.0249,1.0249,0,1
2022-08-08,1.0259,1.0259,1.0259,1.0259,0,1
2022-08-09,1.0276,1.0276,1.0276,1.0276,0,1
2022-08-10,1.0374,1.0374,1.0373,1.0374,101,102
2022-08-11,1.0407,1.0407,1.0393,1.0393,4,100
2022-08-12,1.03335,1.03335,1.03335,1.03335,0,100
2022-08-15,1.025,1.025,1.0223,1.0223,2,100
2022-08-16,1.0227,1.0248,1.0227,1.02345,2771,2349
2022-08-17,1.0249,1.0249,1.0249,1.0249,204,2529
2022-08-18,1.0217,1.02245,1.0151,1.0151,1256,3526
2022-08-19,1.0137,1.01465,1.0092,1.0092,1238,4344
2022-08-22,1.0091,1.0091,0.99915,0.99915,804,4928
2022-08-23,0.9977,1.00455,0.9961,1.0019,1555,4095
2022-08-24,0.99815,1.0055,0.99815,1.00195,1357,5019
2022-08-25,1.00425,1.00875,1.0022,1.0025,76,4497
2022-08-26,1.00155,1.01145,1.00155,1.0017,76,4497
2022-08-29,0.99875,1.0071,0.99835,1.00425,242,4592
2022-08-30,1.0104,1.01045,1.0072,1.0072,470,4182
2022-08-31,1.0084,1.01115,1.00305,1.00955,1112,3384
2022-09-01,1.00825,1.00825,0.999,0.99925,226,3276
2022-09-02,1.00065,1.00155,1.00065,1.00125,532,2771
2022-09-06,1,1.0009,0.99425,0.9956,567,2874
2022-09-07,0.99765,1.00295,0.99525,1.00295,83,2822
2022-09-08,1.0029,1.0069,0.99845,1.0035,293,2823
2022-09-09,1.00465,1.015,1.00465,1.00865,345,2599
2022-09-12,1.01085,1.02355,1.01085,1.0161,119,2602
2022-09-13,1.0171,1.0216,1.00175,1.0021,219,2654
2022-09-14,1.00385,1.00465,1.00235,1.00235,213,2769
2022-09-15,1.00175,1.00455,1.0012,1.00335,71,2799
2022-09-16,1.00315,1.00545,0.99935,1.0043,501,2662
2022-09-19,1.0009,1.00525,1.00075,1.00525,82,2708
2022-09-20,1.00905,1.00905,1.00085,1.00085,1244,3627
2022-09-21,0.9945,0.995,0.98575,0.99455,446,3649
2022-09-22,0.9853,0.99385,0.98525,0.9866,332,3637
2022-09-23,0.9847,0.9848,0.9707,0.9707,281,3798
2022-09-26,0.9705,0.9727,0.96265,0.96455,97,3824
2022-09-27,0.967,0.9698,0.96175,0.96325,216,3969
2022-09-28,0.9606,0.9777,0.95785,0.9777,291,3883
2022-09-29,0.97335,0.983,0.9666,0.98215,144,3876
2022-09-30,0.9845,0.9875,0.977,0.98365,144,3876
2022-10-03,0.98315,0.9855,0.9788,0.98455,740,3862
2022-10-04,0.9861,1.00265,0.985,1.00265,212,3887
2022-10-05,0.9995,0.9995,0.98625,0.9921,78,3877
2022-10-06,0.9937,0.995,0.9815,0.9817,600,3839
2022-10-07,0.9818,0.9836,0.9756,0.976,369,3745
2022-10-10,0.9755,0.9769,0.971,0.9728,1241,3289
2022-10-11,0.97345,0.9792,0.9702,0.97305,433,2954
2022-10-12,0.9706,0.97535,0.96975,0.972,1557,3067
2022-10-13,0.97215,0.9825,0.96535,0.9807,1695,3890
2022-10-14,0.98135,0.9817,0.9737,0.97435,1532,5042
2022-10-17,0.97505,0.9871,0.97425,0.9867,1210,4301
2022-10-18,0.987,0.9885,0.9835,0.98685,1652,3427
2022-10-19,0.98805,0.98805,0.9778,0.97845,528,3106
2022-10-20,0.9792,0.986,0.9789,0.98,868,3066
2022-10-21,0.97985,0.9882,0.97215,0.98605,868,3062
2022-10-24,0.9906,0.99145,0.98315,0.989,576,2833
2022-10-25,0.98975,0.9987,0.98675,0.9973,1448,3880
2022-10-26,0.99735,1.01,0.9957,1.00945,1561,5056
2022-10-27,1.0095,1.0103,0.9969,0.9973,1803,8091
2022-10-28,0.9978,1.0005,0.99435,0.9966,1803,8091
2022-10-31,0.9964,0.9966,0.9886,0.98975,1211,7073
2022-11-01,0.98935,0.99545,0.98685,0.9892,1270,6413
2022-11-02,0.989,0.9975,0.9824,0.98945,786,6805
2022-11-03,0.9817,0.983,0.9744,0.97585,1319,6364
2022-11-04,0.97685,0.997,0.9768,0.9954,1318,5670
2022-11-07,0.9931,1.0035,0.99235,1.0031,720,5344
2022-11-08,1.00225,1.0093,0.9991,1.0078,846,5367
2022-11-09,1.0058,1.00835,0.99985,1.0003,267,5326
2022-11-10,1.0022,1.02165,0.994,1.0182,1866,4147
2022-11-11,1.01795,1.03635,1.01745,1.03635,4070,737
2022-11-14,1.03305,1.03305,1.0281,1.03305,110,718
