Date,Open,High,Low,Close,Volume,Open Interest
2003-12-15,1.2225,1.23,1.2223,1.23,2011.0,42121.0
2003-12-12,1.2248,1.2308,1.2224,1.2294,10498.0,45312.0
2003-12-11,1.2176,1.2215,1.2115,1.2215,7843.0,55621.0
2003-12-10,1.224,1.2264,1.2197,1.2217,10966.0,67665.0
2003-12-09,1.2255,1.2259,1.2187,1.2236,28023.0,74521.0
2003-12-08,1.2217,1.2237,1.2198,1.2219,19614.0,97789.0
2003-12-05,1.2082,1.2169,1.2081,1.2162,17442.0,102895.0
2003-12-04,1.2072,1.2155,1.2026,1.2097,29669.0,114814.0
2003-12-03,1.2101,1.2113,1.2062,1.2097,10370.0,125182.0
2003-12-02,1.1969,1.2088,1.1966,1.2077,12545.0,129271.0
2003-12-01,1.2018,1.2018,1.1932,1.1968,13023.0,123612.0
2003-11-28,1.1989,1.201,1.1966,1.1984,7370.0,127978.0
2003-11-26,1.1818,1.1944,1.1791,1.1916,50994.0,126901.0
2003-11-25,1.1763,1.1813,1.1749,1.1778,8610.0,119577.0
2003-11-24,1.1815,1.1825,1.1753,1.1762,8678.0,117778.0
2003-11-21,1.1897,1.1934,1.1891,1.1909,11237.0,120144.0
2003-11-20,1.1904,1.1965,1.1876,1.1903,8956.0,125258.0
2003-11-19,1.1905,1.1942,1.1866,1.1875,13719.0,126803.0
2003-11-18,1.1771,1.1951,1.1762,1.1944,31559.0,123223.0
2003-11-17,1.1792,1.181,1.1718,1.1757,12769.0,106895.0
2003-11-14,1.1758,1.1793,1.1724,1.1759,10867.0,104857.0
2003-11-13,1.167,1.173,1.1663,1.1721,16188.0,104897.0
2003-11-12,1.1592,1.165,1.1577,1.1621,18340.0,107241.0
2003-11-10,1.1464,1.1514,1.1458,1.1481,9580.0,102753.0
2003-11-07,1.1409,1.1522,1.1367,1.152,16394.0,103208.0
2003-11-06,1.1427,1.1435,1.1377,1.1401,12565.0,97985.0
2003-11-05,1.1453,1.1483,1.1401,1.1427,10009.0,96317.0
2003-11-04,1.1456,1.15,1.1454,1.1482,8523.0,97371.0
2003-11-03,1.1574,1.1594,1.1415,1.1447,22642.0,95830.0
2003-10-31,1.1609,1.1641,1.1551,1.1559,19699.0,101255.0
2003-10-30,1.1722,1.1728,1.1603,1.1616,16111.0,102149.0
2003-10-29,1.1671,1.1697,1.165,1.1657,7398.0,100842.0
2003-10-28,1.1653,1.1712,1.1642,1.1669,10080.0,101356.0
2003-10-27,1.1728,1.1764,1.1712,1.1726,7472.0,102884.0
2003-10-24,1.1772,1.1842,1.1771,1.1797,8912.0,104784.0
2003-10-23,1.1768,1.1791,1.1739,1.1767,8188.0,104718.0
2003-10-22,1.168,1.181,1.1673,1.179,15247.0,106637.0
2003-10-21,1.1604,1.1683,1.1602,1.1633,7495.0,105102.0
2003-10-20,1.1608,1.167,1.1589,1.1641,12060.0,108503.0
2003-10-17,1.1561,1.164,1.153,1.1634,13119.0,104601.0
2003-10-16,1.1596,1.1678,1.157,1.1584,14295.0,105114.0
2003-10-15,1.1651,1.166,1.157,1.163,16631.0,105483.0
2003-10-14,1.1604,1.1747,1.1592,1.1715,21385.0,104459.0
2003-10-10,1.1774,1.1828,1.1745,1.1784,8997.0,101443.0
2003-10-09,1.1773,1.1773,1.1665,1.1719,16886.0,101017.0
2003-10-08,1.1772,1.1807,1.1755,1.178,16045.0,99521.0
2003-10-07,1.1744,1.1789,1.1724,1.175,10447.0,95612.0
2003-10-06,1.1564,1.17,1.1561,1.1677,11925.0,95818.0
2003-10-03,1.1667,1.168,1.1528,1.1537,16794.0,92129.0
2003-10-02,1.1681,1.1705,1.1638,1.1667,10057.0,93652.0
2003-10-01,1.1646,1.1699,1.1638,1.1687,10463.0,89378.0
2003-09-30,1.1631,1.1715,1.1599,1.162,19597.0,90733.0
2003-09-29,1.1386,1.1572,1.1384,1.156,18868.0,86610.0
2003-09-26,1.1463,1.1472,1.1415,1.1445,9424.0,81877.0
2003-09-25,1.1475,1.1512,1.1438,1.146,11726.0,82908.0
2003-09-24,1.1437,1.1469,1.141,1.1458,8042.0,82722.0
2003-09-23,1.1431,1.147,1.1425,1.1439,8325.0,81567.0
2003-09-22,1.144,1.1478,1.1415,1.1457,23253.0,81087.0
2003-09-19,1.1286,1.1358,1.126,1.1328,11618.0,80622.0
2003-09-18,1.126,1.1318,1.12,1.1215,10469.0,80649.0
2003-09-17,1.1196,1.1272,1.1177,1.1271,8183.0,79126.0
2003-09-16,1.1209,1.1219,1.1128,1.1144,9697.0,79684.0
2003-09-15,1.1256,1.1281,1.1229,1.1272,6906.0,74758.0
2003-09-12,1.1146,1.1295,1.1145,1.1257,31314.0,77363.0
2003-09-11,1.1186,1.1227,1.1126,1.117,15157.0,64391.0
2003-09-10,1.1147,1.1193,1.1143,1.1182,22462.0,51961.0
2003-09-09,1.1107,1.121,1.1102,1.1193,19158.0,35922.0
2003-09-08,1.1042,1.11,1.1017,1.1064,18554.0,24811.0
2003-09-05,1.0894,1.1077,1.088,1.1074,8253.0,14472.0
2003-09-04,1.0785,1.0895,1.0784,1.0894,2730.0,6958.0
2003-09-03,1.0749,1.0838,1.0746,1.081,1214.0,6047.0
2003-09-02,1.0819,1.086,1.0788,1.0793,1667.0,5199.0
2003-08-29,1.0892,1.0965,1.0892,1.0939,814.0,4829.0
2003-08-28,1.0795,1.088,1.079,1.0835,381.0,4708.0
2003-08-27,1.0872,1.0885,1.0841,1.0848,412.0,3848.0
2003-08-26,1.0782,1.0872,1.0776,1.085,520.0,3526.0
2003-08-25,1.0848,1.0879,1.0816,1.0847,505.0,3256.0
2003-08-22,1.0845,1.0858,1.0805,1.085,452.0,3000.0
2003-08-21,1.0976,1.0976,1.0855,1.0892,794.0,2801.0
2003-08-20,1.1086,1.1104,1.1065,1.1085,128.0,2491.0
2003-08-19,1.1028,1.111,1.1026,1.1108,338.0,2431.0
2003-08-18,1.1153,1.1153,1.1094,1.1114,175.0,2534.0
2003-08-15,1.1228,1.1228,1.1213,1.1214,13.0,2401.0
2003-08-14,1.1235,1.1255,1.1192,1.1209,50.0,2400.0
2003-08-13,1.1236,1.1292,1.1236,1.1272,44.0,2368.0
2003-08-12,1.1272,1.1272,1.1252,1.1271,251.0,2347.0
2003-08-11,1.1275,1.1328,1.1275,1.1321,45.0,2132.0
2003-08-08,1.1275,1.1304,1.1245,1.1254,324.0,2101.0
2003-08-07,1.1336,1.1367,1.1328,1.1329,45.0,1853.0
2003-08-06,1.1348,1.1353,1.1291,1.1304,186.0,1860.0
2003-08-05,1.129,1.131,1.1272,1.1307,53.0,1817.0
2003-08-04,1.1262,1.1322,1.1262,1.1311,29.0,1778.0
2003-08-01,1.1131,1.123,1.1131,1.122,65.0,1781.0
2003-07-31,1.1277,1.1283,1.1186,1.1198,337.0,1772.0
2003-07-30,1.1378,1.1378,1.1311,1.1316,111.0,1669.0
2003-07-29,1.142,1.149,1.1413,1.1419,130.0,1620.0
2003-07-28,1.1441,1.1467,1.1439,1.1459,120.0,1565.0
2003-07-25,1.1413,1.1503,1.1413,1.1464,74.0,1496.0
2003-07-24,1.1417,1.1437,1.1392,1.1421,286.0,1469.0
2003-07-23,1.1351,1.1442,1.1351,1.1417,391.0,1354.0
2003-07-22,1.1293,1.13,1.1284,1.1284,21.0,1552.0
2003-07-21,1.1231,1.1305,1.1231,1.1299,15.0,1554.0
2003-07-18,1.1142,1.1255,1.1142,1.1242,23.0,1550.0
2003-07-17,1.1164,1.1167,1.1119,1.1167,15.0,1560.0
2003-07-16,1.1112,1.1164,1.1112,1.1164,9.0,1549.0
2003-07-15,1.1272,1.128,1.1114,1.1148,91.0,1545.0
2003-07-14,1.1243,1.1249,1.122,1.1233,20.0,1518.0
2003-07-11,1.1257,1.1266,1.1234,1.1264,48.0,1505.0
2003-07-10,1.1284,1.134,1.1284,1.1339,16.0,1525.0
2003-07-09,1.13,1.13,1.1273,1.129,151.0,1516.0
2003-07-08,1.1275,1.129,1.1209,1.1254,123.0,1483.0
2003-07-07,1.1308,1.1308,1.127,1.1273,81.0,1494.0
2003-07-03,1.1412,1.1472,1.1412,1.1434,12.0,1442.0
2003-07-02,1.1485,1.1492,1.1467,1.1492,42.0,1437.0
2003-07-01,1.1484,1.155,1.1483,1.1509,143.0,1451.0
2003-06-30,1.1423,1.145,1.1423,1.1442,6.0,1330.0
2003-06-27,1.1358,1.1385,1.1358,1.1365,40.0,1303.0
2003-06-26,1.1382,1.1409,1.137,1.1375,52.0,1317.0
2003-06-25,1.1515,1.1557,1.1463,1.1478,28.0,1292.0
2003-06-24,1.15,1.1504,1.142,1.1447,32.0,1263.0
2003-06-23,1.149,1.1515,1.1448,1.1491,82.0,1260.0
2003-06-20,1.1571,1.158,1.1497,1.152,264.0,1245.0
2003-06-19,1.1592,1.1675,1.158,1.1648,81.0,1392.0
2003-06-18,1.1625,1.1659,1.162,1.1628,12.0,1342.0
2003-06-17,1.1735,1.1753,1.1735,1.1738,10.0,1330.0
2003-06-16,1.18,1.18,1.1761,1.1777,48.0,1327.0
2003-06-13,1.168,1.1806,1.168,1.1806,151.0,1299.0
2003-06-12,1.1663,1.1714,1.1663,1.1703,51.0,1253.0
2003-06-11,1.171,1.1718,1.1692,1.1699,29.0,1231.0
2003-06-10,1.164,1.164,1.1608,1.162,163.0,1226.0
2003-06-09,1.1674,1.1682,1.1674,1.1682,361.0,1241.0
2003-06-06,1.172,1.172,1.1635,1.1642,27.0,888.0
2003-06-05,1.171,1.18,1.1708,1.1786,95.0,879.0
2003-06-04,1.1641,1.1653,1.161,1.1628,121.0,846.0
2003-06-03,1.1658,1.1689,1.1658,1.1689,32.0,817.0
2003-06-02,1.1612,1.1701,1.1595,1.17,36.0,800.0
2003-05-30,1.1769,1.1769,1.1693,1.1725,70.0,787.0
2003-05-29,1.1678,1.181,1.1678,1.1805,48.0,764.0
2003-05-28,1.1666,1.171,1.166,1.1696,68.0,761.0
2003-05-27,1.1835,1.185,1.1785,1.1792,21.0,740.0
2003-05-23,1.172,1.175,1.171,1.1733,12.0,730.0
2003-05-22,1.166,1.166,1.1615,1.1627,17.0,721.0
2003-05-21,1.1634,1.1634,1.1599,1.1599,125.0,716.0
2003-05-20,1.1597,1.1641,1.1585,1.1641,139.0,681.0
2003-05-19,1.1585,1.1624,1.1567,1.1581,105.0,632.0
2003-05-16,1.144,1.1515,1.144,1.1506,22.0,574.0
2003-05-15,1.1398,1.1398,1.1313,1.1329,48.0,559.0
2003-05-14,1.144,1.144,1.1422,1.1431,8.0,544.0
2003-05-13,1.1465,1.147,1.1428,1.1441,200.0,541.0
2003-05-12,1.1515,1.1515,1.147,1.1482,136.0,620.0
2003-05-09,1.1424,1.1424,1.1413,1.1413,1.0,529.0
2003-05-08,1.14,1.142,1.14,1.142,9.0,529.0
2003-05-07,1.129,1.1318,1.1285,1.1297,53.0,529.0
2003-05-06,1.126,1.1344,1.1253,1.1343,9.0,524.0
2003-05-05,1.1162,1.1203,1.1162,1.1203,6.0,532.0
