Date,Open,High,Low,Close,Volume,Open Interest
2021-09-16,15470,15470,15470,15470,0,0
2021-09-17,15294.25,15294.25,15294.25,15294.25,0,0
2021-09-20,14979.75,14979.75,14979.75,14979.75,0,0
2021-09-21,14994.25,14994.25,14994.25,14994.25,0,0
2021-09-22,15134,15134,15134,15134,0,0
2021-09-23,15276,15276,15276,15276,0,0
2021-09-24,15290.25,15290.25,15290.25,15290.25,0,0
2021-09-27,15160.75,15160.75,15160.75,15160.75,0,0
2021-09-28,14734.25,14734.25,14734.25,14734.25,0,0
2021-09-29,14710.75,14710.75,14710.75,14710.75,0,0
2021-09-30,14657.25,14657.25,14657.25,14657.25,0,0
2021-10-01,14650,14734.5,14650,14734.5,1,1
2021-10-04,14430.5,14430.5,14430.5,14430.5,0,1
2021-10-05,14430,14628.5,14430,14628.5,1,1
2021-10-06,14733.25,14733.25,14733.25,14733.25,0,0
2021-10-07,14857.75,14857.75,14857.75,14857.75,0,0
2021-10-08,14849,14895.25,14778.25,14778.25,2,1
2021-10-11,14676,14676,14676,14676,0,1
2021-10-12,14624.25,14624.25,14624.25,14624.25,0,1
2021-10-13,14735,14735,14735,14735,0,1
2021-10-14,15009.25,15009.25,15009.25,15009.25,0,1
2021-10-15,15108.5,15108.5,15108.5,15108.5,0,1
2021-10-18,15261.75,15261.75,15261.75,15261.75,0,1
2021-10-19,15366,15366,15366,15366,0,1
2021-10-20,15346,15346,15346,15346,0,1
2021-10-21,15388,15451.5,15388,15451.5,1,2
2021-10-22,15315,15315,15315,15315,0,2
2021-10-25,15462.25,15462.25,15462.25,15462.25,0,2
2021-10-26,15519,15519,15519,15519,0,2
2021-10-27,15561,15561,15561,15561,0,2
2021-10-28,15736.5,15736.5,15736.5,15736.5,2,4
2021-10-29,15809.75,15809.75,15809.75,15809.75,0,4
2021-11-01,15869.25,15869.25,15869.25,15869.25,0,4
2021-11-02,15931.5,15931.5,15931.5,15931.5,0,4
2021-11-03,16103,16103,16103,16103,0,4
2021-11-04,16301,16301,16301,16301,0,4
2021-11-05,16325.5,16325.5,16325.5,16325.5,1,4
2021-11-08,16301.5,16301.5,16301.5,16301.5,0,4
2021-11-09,16303,16303,16186.5,16186.5,1,5
2021-11-10,15954.25,15954.25,15954.25,15954.25,0,5
2021-11-11,16049,16049,15993,15993,2,4
2021-11-12,16163,16163,16163,16163,0,4
2021-11-15,16158,16158,16158,16158,0,4
2021-11-16,16271,16271,16271,16271,0,4
2021-11-17,16281.75,16281.75,16281.75,16281.75,0,4
2021-11-18,16451.5,16451.5,16451.5,16451.5,0,4
2021-11-19,16545.25,16545.25,16545.25,16545.25,0,4
2021-11-22,16352.25,16352.25,16352.25,16352.25,2,6
2021-11-23,16282.25,16282.25,16282.25,16282.25,0,6
2021-11-24,16306,16344.25,16240.75,16344.25,9,11
2021-11-26,16029.5,16029.5,16029.5,16029.5,0,11
2021-11-29,16369.25,16369.25,16369.25,16369.25,0,11
2021-11-30,16129,16129,16129,16129,0,11
2021-12-01,16200,16200,15848.25,15848.25,1,12
2021-12-02,15967.25,15967.25,15967.25,15967.25,0,12
2021-12-03,15696.5,15696.5,15696.5,15696.5,0,12
2021-12-06,15821.75,15821.75,15821.75,15821.75,0,12
2021-12-07,16354,16354,16297,16297,1,12
2021-12-08,16371.25,16371.25,16371.25,16371.25,0,12
2021-12-09,16380,16380,16129.25,16129.25,2,11
2021-12-10,16309.25,16309.25,16309.25,16309.25,0,11
2021-12-13,16061.5,16061.5,16061.5,16061.5,0,11
2021-12-14,15904.25,15904.25,15904.25,15904.25,0,11
2021-12-15,15944,16267.5,15944,16267.5,1,11
2021-12-16,15880.75,15880.75,15880.75,15880.75,4,15
2021-12-17,15769.25,15769.25,15769.25,15769.25,0,15
2021-12-20,15602.5,15602.5,15602.5,15602.5,0,15
2021-12-21,15961.25,15961.25,15961.25,15961.25,0,15
2021-12-22,16151.25,16151.25,16151.25,16151.25,0,15
2021-12-23,16280.5,16280.5,16280.5,16280.5,0,15
2021-12-27,16541.5,16541.5,16541.5,16541.5,0,15
2021-12-28,16469.75,16469.75,16469.75,16469.75,0,15
2021-12-29,16472.25,16472.25,16472.25,16472.25,0,15
2021-12-30,16412,16412,16412,16412,0,15
2021-12-31,16302.5,16302.5,16302.5,16302.5,0,15
2022-01-03,16467.25,16467.25,16467.25,16467.25,0,15
2022-01-04,16257.5,16257.5,16257.5,16257.5,0,15
2022-01-05,15748.25,15748.25,15748.25,15748.25,0,15
2022-01-06,15740.75,15740.75,15740.75,15740.75,0,15
2022-01-07,15562.75,15562.75,15562.75,15562.75,0,15
2022-01-10,15620.5,15620.5,15620.5,15620.5,0,15
2022-01-11,15835,15835,15835,15835,0,15
2022-01-12,15894.5,15894.5,15894.5,15894.5,0,15
2022-01-13,15537.75,15537.75,15537.75,15537.75,0,15
2022-01-14,15643.25,15643.25,15643.25,15643.25,0,15
2022-01-18,15250,15250,15250,15250,0,15
2022-01-19,15080,15080,15080,15080,0,15
2022-01-20,14873.5,14873.5,14873.5,14873.5,0,15
2022-01-21,14461,14461,14461,14461,0,15
2022-01-24,14400,14533.25,14400,14533.25,1,16
2022-01-25,14172,14172,14172,14172,0,16
2022-01-26,14205,14205,14205,14205,0,16
2022-01-27,14024.25,14024.25,14024.25,14024.25,0,16
2022-01-28,14466.5,14466.5,14466.5,14466.5,0,16
2022-01-31,14948.5,14948.5,14948.5,14948.5,3,19
2022-02-01,15036.75,15036.75,15036.75,15036.75,3,22
2022-02-02,15190,15190,15156,15156,3,24
2022-02-03,14514.5,14514.5,14514.5,14514.5,4,33
2022-02-04,14725.25,14725.25,14725.25,14725.25,4,33
2022-02-07,14584.75,14584.75,14584.75,14584.75,1,34
2022-02-08,14765.75,14765.75,14765.75,14765.75,0,34
2022-02-09,15070.25,15070.25,15070.25,15070.25,0,34
2022-02-10,14736.5,14736.5,14736.5,14736.5,0,34
2022-02-11,14272.75,14272.75,14272.75,14272.75,0,34
2022-02-14,14287.75,14287.75,14287.75,14287.75,0,34
2022-02-15,14510,14640.25,14510,14640.25,1,34
2022-02-16,14490,14630,14490,14630,1,34
2022-02-17,14195.5,14195.5,14195.5,14195.5,0,34
2022-02-18,14026.75,14026.75,14026.75,14026.75,0,34
2022-02-22,13893.5,13893.5,13893.5,13893.5,0,34
2022-02-23,13538.25,13538.25,13538.25,13538.25,0,34
2022-02-24,14001.5,14001.5,14001.5,14001.5,1,35
2022-02-25,14211.5,14211.5,14211.5,14211.5,1,35
2022-02-28,14274.25,14274.25,14274.25,14274.25,0,35
2022-03-01,14030,14030,14030,14030,3,32
2022-03-02,14269,14269,14269,14269,0,32
2022-03-03,14048,14048,14048,14048,0,32
2022-03-04,13858.5,13858.5,13858.5,13858.5,0,32
2022-03-07,13339.75,13339.75,13339.75,13339.75,0,32
2022-03-08,13290.75,13290.75,13290.75,13290.75,0,32
2022-03-09,13754,13754,13754,13754,0,32
2022-03-10,13606.75,13606.75,13606.75,13606.75,0,32
2022-03-11,13317.25,13317.25,13317.25,13317.25,1,33
2022-03-14,13070.75,13070.75,13070.75,13070.75,0,33
2022-03-15,13495.75,13495.75,13495.75,13495.75,2,33
2022-03-16,14047,14047,14047,14047,0,33
2022-03-17,14207.75,14207.75,14207.75,14207.75,0,33
2022-03-18,14506.75,14506.75,14506.75,14506.75,0,33
2022-03-21,14495.25,14495.25,14376.75,14464,3,35
2022-03-22,14750.25,14750.25,14750.25,14750.25,0,35
2022-03-23,14543.25,14543.25,14543.25,14543.25,0,35
2022-03-24,14855,14855,14855,14855,1,34
2022-03-25,14833.25,14860,14770,14860,4,34
2022-03-28,14881.5,15088.75,14836,15088.75,14,35
2022-03-29,15051,15335.25,15051,15335.25,9,43
2022-03-30,15300,15300,15162.5,15162.5,1,44
2022-03-31,15222,15280.75,14952,14952,43,76
2022-04-01,14940,14965,14900,14965,3,76
2022-04-04,15259.75,15259.75,15259.75,15259.75,0,76
2022-04-05,15102.25,15102.25,14913.5,14913.5,2,78
2022-04-06,14609,14609,14591.25,14591.25,1,78
2022-04-07,14700,14700,14622,14622,6,82
2022-04-08,14500,14500,14410.75,14410.75,6,82
2022-04-11,14400,14400,14080.25,14080.25,3,82
2022-04-12,14130.25,14381.75,14031.75,14031.75,10,82
2022-04-13,14027.25,14309,14027.25,14309,6,86
2022-04-14,14245,14245,13983,13983,7,83
2022-04-18,14010.25,14068,13933.25,13991.75,14,83
2022-04-19,13982,14302.25,13982,14302.25,4,84
2022-04-20,14373,14373,14096.75,14096.75,26,96
2022-04-21,14176.25,14281,13813.5,13813.5,7,96
2022-04-22,13813,13813,13438.5,13438.5,9,98
2022-04-25,13350,13638.5,13350,13638.5,21,103
2022-04-26,13596.5,13596.5,13000,13127.75,10,113
2022-04-27,13264.25,13305,13102.5,13116.5,37,129
2022-04-28,13275,13552,13151.25,13552,75,196
2022-04-29,13360,13510,12951.25,12951.25,75,196
2022-05-02,12891.25,13176.5,12890.25,13176.5,33,201
2022-05-03,13250,13250,13192,13192,7,198
2022-05-04,13229.75,13637,13005,13637,16,200
2022-05-05,13617.25,13617.25,12940,12957.25,16,200
2022-05-06,12800,12970,12650,12794.75,16,200
