Date,Open,High,Low,Close,Volume,Open Interest
2009-12-14,11196.0,11322.0,11195.0,11304.0,37150.0,51224.0
2009-12-11,11325.0,11336.0,11134.0,11212.0,91553.0,60860.0
2009-12-10,11361.0,11399.0,11306.0,11332.0,91553.0,60860.0
2009-12-09,11317.0,11447.0,11273.0,11399.0,136327.0,81417.0
2009-12-08,11185.0,11342.0,11180.0,11321.0,126118.0,97169.0
2009-12-07,11079.0,11231.0,11065.0,11178.0,104215.0,108850.0
2009-12-04,11317.0,11364.0,11016.0,11023.0,199643.0,125487.0
2009-12-03,11417.0,11432.0,11301.0,11337.0,115016.0,135611.0
2009-12-02,11530.0,11549.0,11429.0,11436.0,99463.0,139273.0
2009-12-01,11586.0,11607.0,11425.0,11540.0,130310.0,138913.0
2009-11-30,11543.0,11647.0,11513.0,11591.0,106155.0,138962.0
2009-11-27,11452.0,11790.0,11431.0,11523.0,190246.0,136378.0
2009-11-25,11296.0,11467.0,11282.0,11442.0,120569.0,132830.0
2009-11-24,11234.0,11319.0,11229.0,11294.0,89844.0,128495.0
2009-11-23,11259.0,11291.0,11211.0,11237.0,68310.0,125379.0
2009-11-20,11243.0,11277.0,11219.0,11242.0,68712.0,124802.0
2009-11-19,11200.0,11283.0,11180.0,11237.0,97353.0,126614.0
2009-11-18,11197.0,11236.0,11176.0,11178.0,66419.0,123715.0
2009-11-17,11222.0,11271.0,11169.0,11201.0,78951.0,122894.0
2009-11-16,11160.0,11269.0,11148.0,11242.0,93879.0,124244.0
2009-11-13,11067.0,11179.0,11061.0,11152.0,97732.0,120428.0
2009-11-12,11127.0,11157.0,11036.0,11073.0,121662.0,115228.0
2009-11-11,11136.0,11202.0,11107.0,11125.0,82922.0,115668.0
2009-11-10,11119.0,11158.0,11088.0,11143.0,77757.0,115587.0
2009-11-09,11128.0,11151.0,11081.0,11114.0,64831.0,116703.0
2009-11-06,11019.0,11162.0,11007.0,11118.0,127960.0,116859.0
2009-11-05,11011.0,11114.0,11008.0,11018.0,74951.0,110235.0
2009-11-04,11071.0,11107.0,10942.0,11014.0,102917.0,109427.0
2009-11-03,11067.0,11130.0,11042.0,11073.0,75685.0,109558.0
2009-11-02,11153.0,11183.0,11027.0,11066.0,98049.0,107599.0
2009-10-30,10934.0,11124.0,10922.0,11113.0,121065.0,109212.0
2009-10-29,11029.0,11084.0,10916.0,10928.0,119513.0,111708.0
2009-10-28,10898.0,11046.0,10894.0,11016.0,120764.0,115052.0
2009-10-27,10844.0,10907.0,10834.0,10898.0,85119.0,114913.0
2009-10-26,10858.0,10923.0,10838.0,10844.0,82731.0,116290.0
2009-10-23,10955.0,10958.0,10857.0,10858.0,92601.0,116820.0
2009-10-22,10995.0,11020.0,10906.0,10957.0,95106.0,118968.0
2009-10-21,11033.0,11055.0,10958.0,10988.0,89572.0,118712.0
2009-10-20,11037.0,11105.0,10983.0,11030.0,89572.0,118712.0
2009-10-19,10998.0,11070.0,10977.0,11029.0,101996.0,117756.0
2009-10-16,11043.0,11052.0,10953.0,11008.0,101996.0,117756.0
2009-10-15,11196.0,11207.0,11019.0,11039.0,138396.0,121459.0
2009-10-14,11152.0,11261.0,11126.0,11178.0,126982.0,124171.0
2009-10-13,11140.0,11186.0,11092.0,11140.0,64878.0,119728.0
2009-10-12,11150.0,11161.0,11059.0,11140.0,64878.0,119728.0
2009-10-09,11317.0,11323.0,11129.0,11134.0,76115.0,120436.0
2009-10-08,11291.0,11350.0,11276.0,11301.0,124865.0,120600.0
2009-10-07,11268.0,11368.0,11189.0,11288.0,124865.0,120600.0
2009-10-06,11173.0,11289.0,11158.0,11265.0,87266.0,120289.0
2009-10-05,11182.0,11191.0,11118.0,11177.0,52688.0,118403.0
2009-10-02,11168.0,11291.0,11122.0,11163.0,121864.0,118409.0
2009-10-01,11153.0,11189.0,11095.0,11146.0,78152.0,119085.0
2009-09-30,11100.0,11197.0,11065.0,11162.0,99598.0,117663.0
2009-09-29,11157.0,11164.0,11070.0,11094.0,94359.0,119180.0
2009-09-28,11162.0,11341.0,11143.0,11146.0,102866.0,120728.0
2009-09-25,10962.0,11178.0,10951.0,11129.0,118521.0,121715.0
2009-09-24,10939.0,11074.0,10919.0,10959.0,118866.0,116011.0
2009-09-23,10979.0,11058.0,10930.0,10974.0,75322.0,116407.0
2009-09-22,10881.0,11004.0,10867.0,10965.0,73439.0,119523.0
2009-09-21,10935.0,10959.0,10812.0,10860.0,80088.0,110346.0
