Date,Open,High,Low,Close,Volume,Open Interest
2021-06-04,4170.25,4170.25,4170.25,4170.25,0,0
2021-06-07,4168,4168,4168,4168,0,0
2021-06-08,4168,4168,4168,4168,0,0
2021-06-09,4161,4161,4161,4161,0,0
2021-06-10,4181,4181,4181,4181,0,0
2021-06-11,4186.5,4186.5,4186.5,4186.5,0,0
2021-06-14,4194.5,4194.5,4194.5,4194.5,0,0
2021-06-15,4185.75,4185.75,4185.75,4185.75,0,0
2021-06-16,4165.5,4165.5,4165.5,4165.5,0,0
2021-06-17,4164,4164,4164,4164,0,0
2021-06-18,4108,4108,4108,4108,0,0
2021-06-21,4167.5,4167.5,4167.5,4167.5,0,0
2021-06-22,4188.25,4188.25,4188.25,4188.25,0,0
2021-06-23,4187.75,4187.75,4187.75,4187.75,0,0
2021-06-24,4212.25,4212.25,4212.25,4212.25,0,0
2021-06-25,4226.75,4226.75,4226.75,4226.75,0,0
2021-06-28,4236.5,4236.5,4236.5,4236.5,0,0
2021-06-29,4238,4238,4238,4238,0,0
2021-06-30,4244.75,4244.75,4244.75,4244.75,0,0
2021-07-01,4264.75,4264.75,4264.75,4264.75,0,0
2021-07-02,4297.25,4297.25,4297.25,4297.25,0,0
2021-07-06,4289.75,4289.75,4289.75,4289.75,0,0
2021-07-07,4303.25,4303.25,4303.25,4303.25,0,0
2021-07-08,4265,4265,4265,4265,0,0
2021-07-09,4314.25,4314.25,4314.25,4314.25,0,0
2021-07-12,4330.5,4330.5,4330.5,4330.5,0,0
2021-07-13,4314,4314,4314,4314,0,0
2021-07-14,4320.5,4320.5,4320.5,4320.5,0,0
2021-07-15,4306.5,4306.5,4306.5,4306.5,0,0
2021-07-16,4273.75,4273.75,4273.75,4273.75,0,0
2021-07-19,4205.25,4205.25,4205.25,4205.25,25,25
2021-07-20,4271.5,4271.5,4271.5,4271.5,0,25
2021-07-21,4306,4306,4306,4306,0,25
2021-07-22,4314.5,4314.5,4314.5,4314.5,0,25
2021-07-23,4359,4359,4359,4359,0,25
2021-07-26,4369.5,4369.5,4369.5,4369.5,0,25
2021-07-27,4349,4349,4349,4349,0,25
2021-07-28,4350.25,4350.25,4350.25,4350.25,0,25
2021-07-29,4366.5,4366.5,4366.5,4366.5,0,25
2021-07-30,4344,4344,4344,4344,0,25
2021-08-02,4334.5,4334.5,4334.5,4334.5,0,25
2021-08-03,4370.25,4370.25,4370.25,4370.25,0,25
2021-08-04,4351.75,4351.75,4351.75,4351.75,0,25
2021-08-05,4377.25,4377.25,4377.25,4377.25,0,25
2021-08-06,4384.75,4384.75,4384.75,4384.75,0,25
2021-08-09,4381,4381,4381,4381,0,25
2021-08-10,4385.5,4385.5,4385.5,4385.5,0,25
2021-08-11,4396,4396,4396,4396,0,25
2021-08-12,4409,4409,4409,4409,107,96
2021-08-13,4416.5,4416.5,4416.5,4416.5,0,96
2021-08-16,4428,4428,4428,4428,0,96
2021-08-17,4396.75,4396.75,4396.75,4396.75,0,96
2021-08-18,4347.5,4347.5,4347.5,4347.5,0,96
2021-08-19,4354,4354,4354,4354,0,96
