Date,Open,High,Low,Close,Volume,Open Interest
2021-08-16,1.1813,1.1813,1.1813,1.1813,0,0
2021-08-17,1.17475,1.17475,1.17475,1.17475,0,0
2021-08-18,1.1749,1.1749,1.1749,1.1749,0,0
2021-08-19,1.1712,1.1712,1.1712,1.1712,0,0
2021-08-20,1.1733,1.1733,1.1733,1.1733,0,0
2021-08-23,1.17845,1.17845,1.17845,1.17845,0,0
2021-08-24,1.1791,1.1791,1.1791,1.1791,0,0
2021-08-25,1.18065,1.18065,1.18065,1.18065,0,0
2021-08-26,1.1786,1.1786,1.1786,1.1786,0,0
2021-08-27,1.1829,1.1829,1.1829,1.1829,0,0
2021-08-30,1.1838,1.1838,1.1838,1.1838,0,0
2021-08-31,1.18465,1.18465,1.18465,1.18465,0,0
2021-09-01,1.18795,1.18795,1.18795,1.18795,0,0
2021-09-02,1.19065,1.19065,1.19065,1.19065,0,0
2021-09-03,1.19225,1.19225,1.19225,1.19225,0,0
2021-09-07,1.1877,1.1877,1.1877,1.1877,0,0
2021-09-08,1.1856,1.1856,1.1856,1.1856,0,0
2021-09-09,1.18595,1.18595,1.18595,1.18595,0,0
2021-09-10,1.1845,1.1845,1.1845,1.1845,0,0
2021-09-13,1.18335,1.18335,1.18335,1.18335,0,0
2021-09-14,1.1841,1.1841,1.1841,1.1841,0,0
2021-09-15,1.18405,1.18405,1.18405,1.18405,0,0
2021-09-16,1.1786,1.1786,1.1786,1.1786,15,115
2021-09-17,1.18195,1.182,1.17615,1.17615,15,115
2021-09-20,1.1753,1.17565,1.1753,1.17565,41,156
2021-09-21,1.17575,1.17575,1.17575,1.17575,120,276
2021-09-22,1.1724,1.1724,1.1724,1.1724,0,276
2021-09-23,1.1778,1.1778,1.1778,1.1778,0,276
2021-09-24,1.17465,1.17465,1.17465,1.17465,0,276
2021-09-27,1.17245,1.173,1.17235,1.173,17,262
2021-09-28,1.1707,1.1707,1.1707,1.1707,0,262
2021-09-29,1.171,1.171,1.163,1.163,10,269
2021-09-30,1.1612,1.1612,1.1612,1.1612,0,269
2021-10-01,1.1625,1.1625,1.1625,1.1625,0,269
2021-10-04,1.1655,1.1655,1.1652,1.1652,22,287
2021-10-05,1.16245,1.16245,1.16245,1.16245,20,307
2021-10-06,1.1569,1.1577,1.1569,1.1577,211,518
2021-10-07,1.15755,1.15785,1.15755,1.15785,14,774
2021-10-08,1.1588,1.1606,1.1588,1.1604,14,774
2021-10-11,1.1586,1.15865,1.1586,1.15865,12,778
2021-10-12,1.1572,1.1572,1.155,1.15565,72,849
2021-10-13,1.1616,1.1616,1.1616,1.1616,0,849
2021-10-14,1.1623,1.1637,1.1623,1.16255,314,1141
2021-10-15,1.16435,1.16435,1.162,1.16325,67,1170
2021-10-18,1.1642,1.1642,1.1637,1.16375,127,1054
2021-10-19,1.16765,1.16825,1.16645,1.16655,226,1197
2021-10-20,1.16575,1.1682,1.16495,1.1682,443,848
2021-10-21,1.16635,1.16705,1.16445,1.1648,110,1414
2021-10-22,1.1652,1.16725,1.1652,1.16615,110,1414
2021-10-25,1.1689,1.1689,1.16165,1.1638,21,1425
2021-10-26,1.1641,1.1642,1.1613,1.1622,147,1552
2021-10-27,1.1624,1.1642,1.16115,1.1634,181,1578
2021-10-28,1.16305,1.1709,1.16085,1.1709,511,1353
2021-10-29,1.17135,1.17135,1.1578,1.15825,394,1051
2021-11-01,1.1583,1.163,1.1583,1.163,566,1230
2021-11-02,1.16155,1.1628,1.1601,1.1605,457,1417
2021-11-03,1.1608,1.1634,1.1601,1.1634,1434,1598
2021-11-04,1.1637,1.1637,1.155,1.1575,41,1618
2021-11-05,1.1572,1.1583,1.1542,1.1572,172,1656
2021-11-08,1.15765,1.16115,1.1575,1.16115,241,1832
2021-11-09,1.16005,1.1623,1.1596,1.1616,159,1837
2021-11-10,1.15895,1.15965,1.15055,1.15055,352,2047
2021-11-11,1.1497,1.1497,1.1466,1.1466,180,2087
2021-11-12,1.1458,1.14805,1.1457,1.14645,336,2363
2021-11-15,1.1473,1.14775,1.138,1.1406,173,2425
2021-11-16,1.13925,1.13995,1.133,1.1337,427,2599
2021-11-17,1.1338,1.1351,1.12875,1.1335,617,3003
2021-11-18,1.1339,1.1391,1.13365,1.13905,1049,3308
2021-11-19,1.1387,1.1387,1.1271,1.1309,1200,3157
2021-11-22,1.12995,1.13045,1.1253,1.1253,77,3170
2021-11-23,1.1264,1.12915,1.12535,1.1271,791,3365
2021-11-24,1.1261,1.1264,1.12095,1.1219,726,3604
2021-11-26,1.1231,1.134,1.1231,1.13235,772,3550
2021-11-29,1.13025,1.1314,1.12795,1.1293,617,3995
2021-11-30,1.13105,1.1398,1.1257,1.1344,750,4254
2021-12-01,1.13585,1.13745,1.1323,1.13375,177,4249
2021-12-02,1.13375,1.1363,1.1313,1.1314,610,4808
2021-12-03,1.1316,1.1344,1.12885,1.13275,610,4808
2021-12-06,1.1323,1.1323,1.12825,1.12955,1470,5568
2021-12-07,1.1297,1.1314,1.12445,1.12775,1288,6156
2021-12-08,1.1284,1.1368,1.1284,1.1364,1658,6672
2021-12-09,1.1356,1.1356,1.12915,1.13015,340,6789
2021-12-10,1.1305,1.13355,1.1281,1.1325,827,7176
2021-12-13,1.1329,1.13325,1.12765,1.13025,2775,8238
2021-12-14,1.12955,1.13345,1.12695,1.12705,680,8508
2021-12-15,1.1271,1.131,1.12375,1.12845,3412,8839
2021-12-16,1.13065,1.137,1.1295,1.1337,656,9827
2021-12-17,1.13435,1.1349,1.1251,1.1264,656,9823
2021-12-20,1.12485,1.1313,1.12485,1.1284,1318,9929
2021-12-21,1.1284,1.131,1.1271,1.1289,2327,11740
2021-12-22,1.129,1.135,1.12745,1.134,335,11823
2021-12-23,1.1331,1.13465,1.12985,1.1344,3659,8797
2021-12-27,1.1375,1.1386,1.1312,1.1332,1355,8205
2021-12-28,1.1335,1.1339,1.1302,1.1309,190,8129
2021-12-29,1.13195,1.13665,1.1288,1.13495,1933,7422
2021-12-30,1.1339,1.1345,1.13065,1.1332,782,6783
2021-12-31,1.1318,1.139,1.13155,1.13895,1686,5815
2022-01-03,1.1379,1.1379,1.12895,1.13005,590,5658
2022-01-04,1.13015,1.1323,1.12765,1.1291,408,5499
2022-01-05,1.12965,1.13455,1.12965,1.1313,953,5278
2022-01-06,1.1319,1.132,1.1289,1.1289,132,5237
2022-01-07,1.1299,1.1365,1.1295,1.1365,1242,4521
2022-01-10,1.1358,1.1358,1.1289,1.1325,592,4499
