Date,Open,High,Low,Close,Volume,Open Interest
2003-03-17,1.0805,1.0811,1.078,1.078,8326.0,26700.0
2003-03-14,1.0775,1.0804,1.0692,1.0743,6372.0,32646.0
2003-03-13,1.0855,1.0896,1.0792,1.0807,9831.0,37918.0
2003-03-12,1.1022,1.1031,1.098,1.1,9574.0,45456.0
2003-03-11,1.1068,1.1079,1.1017,1.1027,18052.0,57832.0
2003-03-10,1.1042,1.1064,1.103,1.1042,21772.0,72415.0
2003-03-07,1.1038,1.1062,1.0965,1.1008,29747.0,81631.0
2003-03-06,1.0957,1.1007,1.0948,1.0969,23141.0,91918.0
2003-03-05,1.0958,1.0986,1.0941,1.0968,19799.0,99920.0
2003-03-04,1.0905,1.0922,1.0871,1.0873,20515.0,104307.0
2003-03-03,1.0793,1.0893,1.0785,1.0879,28916.0,108494.0
2003-02-28,1.0781,1.0801,1.0758,1.0795,17291.0,100737.0
2003-02-27,1.0803,1.0805,1.0728,1.076,17810.0,103096.0
2003-02-26,1.0746,1.0803,1.0742,1.0783,12457.0,103590.0
2003-02-25,1.0767,1.0814,1.0735,1.0756,15782.0,100860.0
2003-02-24,1.0717,1.0797,1.0715,1.0782,21767.0,102437.0
2003-02-21,1.0828,1.083,1.074,1.0756,15209.0,102209.0
2003-02-20,1.0751,1.0826,1.0743,1.0813,12460.0,105061.0
2003-02-19,1.0707,1.0754,1.0699,1.0747,12629.0,100898.0
2003-02-18,1.0699,1.0715,1.0667,1.0674,14089.0,103961.0
2003-02-14,1.0777,1.0802,1.0745,1.0762,9791.0,102977.0
2003-02-13,1.0743,1.0847,1.0737,1.0825,25377.0,104368.0
2003-02-12,1.0716,1.0732,1.069,1.0705,11278.0,100976.0
2003-02-11,1.0689,1.0745,1.0658,1.0718,21784.0,103899.0
2003-02-10,1.0789,1.0792,1.071,1.0732,13855.0,101378.0
2003-02-07,1.0774,1.082,1.0717,1.0815,19327.0,103439.0
2003-02-06,1.08,1.0839,1.0795,1.0816,16929.0,104103.0
2003-02-05,1.0888,1.0888,1.0723,1.0786,25625.0,104743.0
2003-02-04,1.0802,1.0887,1.0799,1.0859,23082.0,105563.0
2003-02-03,1.0713,1.076,1.0702,1.0749,17250.0,101807.0
2003-01-31,1.0799,1.0805,1.0704,1.0736,22194.0,99986.0
2003-01-30,1.0726,1.0793,1.0714,1.0786,17611.0,102952.0
2003-01-29,1.0846,1.0858,1.0787,1.081,14523.0,102536.0
2003-01-28,1.0787,1.082,1.077,1.0798,8057.0,102730.0
2003-01-27,1.0848,1.085,1.0759,1.0832,29465.0,104844.0
2003-01-24,1.0763,1.0828,1.0734,1.0815,17637.0,106798.0
2003-01-23,1.0732,1.0755,1.0715,1.0735,7634.0,108124.0
2003-01-22,1.0697,1.0705,1.0663,1.0693,10828.0,108726.0
2003-01-21,1.0629,1.071,1.0622,1.0692,11430.0,110957.0
2003-01-17,1.0626,1.0653,1.0614,1.0629,8842.0,107770.0
2003-01-16,1.054,1.0603,1.0527,1.0593,12927.0,109731.0
2003-01-15,1.0501,1.0567,1.0491,1.052,14788.0,108776.0
2003-01-14,1.0552,1.0571,1.0525,1.0541,13953.0,108409.0
2003-01-13,1.0516,1.054,1.05,1.0521,8568.0,100908.0
2003-01-10,1.0478,1.0559,1.0469,1.0556,12314.0,101218.0
2003-01-09,1.0477,1.0478,1.0433,1.0457,11308.0,101888.0
2003-01-08,1.0342,1.0505,1.0332,1.0461,16458.0,102865.0
2003-01-07,1.0399,1.0417,1.037,1.0384,8504.0,96871.0
2003-01-06,1.0456,1.0463,1.0428,1.0442,7180.0,97383.0
2003-01-03,1.037,1.0406,1.035,1.0383,8422.0,96724.0
2003-01-02,1.042,1.0438,1.0302,1.033,20516.0,97752.0
2002-12-31,1.0452,1.0473,1.0421,1.0471,6578.0,97405.0
2002-12-30,1.0385,1.045,1.038,1.0447,8087.0,100305.0
2002-12-27,1.0342,1.0408,1.0331,1.0406,8632.0,99259.0
2002-12-26,1.0321,1.0342,1.0295,1.0338,5050.0,100487.0
2002-12-24,1.0264,1.0292,1.025,1.027,6515.0,98703.0
2002-12-23,1.0248,1.0263,1.018,1.0222,7478.0,97848.0
2002-12-20,1.0221,1.0239,1.0217,1.0231,3008.0,97511.0
2002-12-19,1.0234,1.0242,1.017,1.023,8116.0,98347.0
2002-12-18,1.0204,1.024,1.0186,1.0222,7015.0,99301.0
2002-12-17,1.0269,1.0296,1.0207,1.0246,13135.0,99468.0
2002-12-16,1.0175,1.0196,1.0155,1.0183,6832.0,97453.0
2002-12-13,1.0186,1.0212,1.0136,1.0184,18948.0,98176.0
2002-12-12,1.0123,1.0158,1.009,1.0145,22654.0,92135.0
2002-12-11,1.003,1.006,1.0024,1.004,15688.0,77211.0
2002-12-10,1.0073,1.0073,1.003,1.0051,22010.0,65690.0
2002-12-09,1.0052,1.0061,1.0027,1.0057,28673.0,51914.0
2002-12-06,0.9966,1.0085,0.9963,1.0051,12390.0,20074.0
2002-12-05,0.9955,0.9972,0.993,0.9963,1914.0,7982.0
2002-12-04,0.9973,0.9982,0.9945,0.9954,1763.0,6600.0
2002-12-03,0.9926,0.9957,0.9913,0.9913,706.0,5306.0
2002-12-02,0.9817,0.9937,0.9817,0.9928,1577.0,4654.0
2002-11-29,0.988,0.9909,0.9876,0.9898,128.0,3400.0
2002-11-27,0.9875,0.9881,0.9835,0.9863,1084.0,3288.0
2002-11-26,0.9863,0.9886,0.9855,0.9876,331.0,2748.0
2002-11-25,0.9852,0.9895,0.985,0.9861,257.0,2397.0
2002-11-22,0.9981,0.9981,0.9915,0.9921,152.0,2250.0
2002-11-21,0.9967,0.997,0.9933,0.996,344.0,2173.0
2002-11-20,0.9967,0.999,0.9962,0.9966,244.0,2081.0
2002-11-19,1.0087,1.0087,0.996,0.9977,213.0,1994.0
2002-11-18,1.0018,1.0035,1.0012,1.0032,159.0,1873.0
2002-11-15,0.998,1.004,0.998,1.0033,65.0,1769.0
2002-11-14,1.0035,1.0036,0.9985,1.0001,189.0,1683.0
2002-11-13,1.0014,1.0033,1.0,1.001,146.0,1557.0
2002-11-12,1.0031,1.0058,1.0021,1.0057,188.0,1542.0
2002-11-08,1.004,1.0082,1.0035,1.0071,55.0,1390.0
2002-11-07,0.9955,1.0032,0.9955,1.0032,224.0,1289.0
2002-11-06,0.99,0.997,0.99,0.997,7.0,1145.0
2002-11-05,0.9967,0.998,0.9934,0.9939,36.0,1124.0
2002-11-04,0.9902,0.9916,0.9882,0.9915,36.0,1077.0
2002-11-01,0.9912,0.994,0.99,0.9908,187.0,1034.0
2002-10-31,0.981,0.9842,0.981,0.9834,53.0,971.0
2002-10-30,0.9792,0.9792,0.979,0.979,12.0,952.0
2002-10-29,0.9763,0.9814,0.9755,0.979,19.0,990.0
2002-10-28,0.97,0.9786,0.97,0.9786,279.0,985.0
2002-10-25,0.9715,0.9718,0.9715,0.9715,14.0,928.0
2002-10-24,0.972,0.972,0.972,0.972,1.0,917.0
2002-10-23,0.9712,0.9725,0.9699,0.9712,20.0,917.0
2002-10-22,0.9713,0.974,0.9713,0.9732,85.0,925.0
