Date,Open,High,Low,Close,Volume,Open Interest
2021-04-19,1.19675,1.20475,1.1943,1.20175,116.0,1183.0
2021-04-16,1.19685,1.1994,1.19515,1.19785,479.0,1456.0
2021-04-15,1.1985,1.19935,1.19575,1.1975,267.0,1388.0
2021-04-14,1.19565,1.1988,1.19535,1.1972,182.0,1474.0
2021-04-13,1.19015,1.19565,1.1882,1.19475,1132.0,1761.0
2021-04-12,1.1899,1.192,1.18735,1.19065,202.0,1734.0
2021-04-09,1.1916,1.19215,1.18695,1.19045,325.0,1776.0
2021-04-08,1.1875,1.19285,1.18635,1.1919,256.0,1749.0
2021-04-07,1.1874,1.1917,1.18645,1.18685,496.0,1756.0
2021-04-06,1.182,1.188,1.1799,1.18735,671.0,1592.0
2021-04-05,1.1762,1.18225,1.17415,1.1815,1088.0,1237.0
2021-04-01,1.17305,1.1784,1.17165,1.17745,575.0,1297.0
2021-03-31,1.1726,1.1764,1.17085,1.17285,941.0,1166.0
2021-03-30,1.1776,1.1778,1.17165,1.1722,990.0,1171.0
2021-03-29,1.1797,1.1799,1.17665,1.1769,638.0,1136.0
2021-03-26,1.17775,1.181,1.17745,1.17955,322.0,1156.0
2021-03-25,1.18245,1.18335,1.1768,1.17825,958.0,1204.0
2021-03-24,1.1859,1.1859,1.18175,1.18285,1103.0,1230.0
2021-03-23,1.19415,1.1948,1.18495,1.1859,327.0,1207.0
2021-03-22,1.1885,1.19545,1.1883,1.19495,423.0,1225.0
2021-03-19,1.19255,1.1944,1.18825,1.1916,293.0,1234.0
2021-03-18,1.19925,1.19965,1.1915,1.1922,516.0,1238.0
2021-03-17,1.1911,1.19945,1.1896,1.19865,566.0,1238.0
2021-03-16,1.19345,1.1961,1.18925,1.1913,358.0,1262.0
2021-03-15,1.19595,1.1976,1.1921,1.19355,611.0,1286.0
2021-03-12,1.1995,1.19975,1.192,1.1959,1040.0,1156.0
2021-03-11,1.19355,1.19995,1.1926,1.1993,863.0,1160.0
2021-03-10,1.19085,1.194,1.188,1.1933,854.0,1197.0
2021-03-09,1.18605,1.1925,1.1847,1.19115,749.0,1460.0
2021-03-08,1.19395,1.19435,1.1856,1.1869,296.0,1452.0
2021-03-05,1.19775,1.1985,1.1906,1.19245,298.0,1422.0
2021-03-04,1.2072,1.2072,1.1974,1.1977,180.0,1374.0
2021-03-03,1.2096,1.2125,1.2056,1.20785,187.0,1385.0
2021-03-02,1.20615,1.21065,1.2005,1.20975,313.0,1409.0
2021-03-01,1.20885,1.2114,1.20415,1.20605,211.0,1390.0
2021-02-26,1.2195,1.21955,1.20765,1.20915,256.0,1372.0
2021-02-25,1.21825,1.22565,1.21705,1.21985,365.0,1523.0
2021-02-24,1.21655,1.2188,1.2124,1.21625,181.0,1511.0
2021-02-23,1.2178,1.2195,1.21505,1.2158,109.0,1506.0
2021-02-22,1.2142,1.21835,1.2106,1.21825,78.0,1515.0
2021-02-19,1.2101,1.21585,1.20975,1.2131,112.0,1523.0
2021-02-18,1.20605,1.2109,1.2051,1.2101,195.0,1518.0
2021-02-17,1.21095,1.2112,1.20395,1.20525,74.0,1506.0
2021-02-16,1.21475,1.21845,1.21115,1.2131,94.0,1484.0
2021-02-12,1.2147,1.21485,1.20985,1.21325,279.0,1469.0
2021-02-11,1.21305,1.2165,1.213,1.21475,152.0,1468.0
2021-02-10,1.2133,1.21605,1.2127,1.21465,54.0,1475.0
2021-02-09,1.2074,1.2139,1.2066,1.21355,103.0,1480.0
2021-02-08,1.2069,1.20845,1.20385,1.2074,76.0,1470.0
2021-02-05,1.19855,1.2068,1.19715,1.2062,377.0,1686.0
2021-02-04,1.2028,1.2061,1.19765,1.19855,998.0,891.0
2021-02-03,1.2047,1.2069,1.20255,1.20455,51.0,895.0
2021-02-02,1.20825,1.2107,1.2032,1.204,526.0,445.0
2021-02-01,1.2145,1.21565,1.2077,1.2088,97.0,407.0
2021-01-29,1.2135,1.21765,1.21165,1.2153,59.0,409.0
2021-01-28,1.21045,1.21635,1.2103,1.21535,32.0,413.0
2021-01-27,1.2184,1.21915,1.2081,1.21225,1478.0,228.0
2021-01-26,1.21575,1.2198,1.21315,1.21875,64.0,228.0
2021-01-25,1.22025,1.22055,1.214,1.21615,90.0,282.0
2021-01-22,1.21895,1.2212,1.21755,1.2191,26.0,281.0
2021-01-21,1.21375,1.21955,1.21375,1.21825,40.0,280.0
2021-01-20,1.21675,1.2182,1.2102,1.21315,28.0,275.0
2021-01-19,1.2084,1.2169,1.20785,1.2151,260.0,22.0
2021-01-15,1.21735,1.21805,1.20965,1.21025,11.0,20.0
2021-01-14,1.2148,1.22005,1.21405,1.21805,5.0,20.0
2021-01-13,1.21805,1.22445,1.21705,1.21805,0.0,20.0
2021-01-12,1.2227,1.22295,1.2173,1.2227,0.0,20.0
2021-01-11,1.21805,1.2189,1.21685,1.2189,14.0,11.0
2021-01-08,1.2282,1.23045,1.22245,1.22425,17.0,16.0
2021-01-07,1.2295,1.23625,1.2281,1.2295,0.0,16.0
2021-01-06,1.2336,1.23685,1.2302,1.2336,0.0,16.0
2021-01-05,1.23315,1.23315,1.228,1.23315,0.0,16.0
2021-01-04,1.22805,1.2331,1.22805,1.22805,0.0,16.0
2020-12-31,1.22405,1.233,1.2238,1.22555,4.0,14.0
2020-12-30,1.23315,1.23315,1.2285,1.2318,1.0,13.0
2020-12-29,1.2286,1.23,1.2286,1.2286,0.0,13.0
2020-12-28,1.2224,1.2277,1.2224,1.22415,7.0,13.0
2020-12-24,1.222,1.2242,1.222,1.222,0.0,13.0
2020-12-23,1.22175,1.2252,1.22175,1.22175,0.0,13.0
2020-12-22,1.2203,1.22915,1.2203,1.2203,0.0,13.0
2020-12-21,1.22895,1.22895,1.2177,1.22895,0.0,13.0
2020-12-18,1.22815,1.2307,1.22735,1.22815,0.0,13.0
2020-12-17,1.2303,1.2308,1.2303,1.2303,0.0,13.0
2020-12-16,1.2222,1.2242,1.21715,1.22035,11.0,7.0
2020-12-15,1.21295,1.21965,1.21295,1.21965,8.0,3.0
2020-12-14,1.21855,1.21855,1.21855,1.21855,0.0,3.0
2020-12-11,1.2152,1.2152,1.2152,1.2152,0.0,3.0
2020-12-10,1.21725,1.21725,1.21725,1.21725,0.0,3.0
2020-12-09,1.22115,1.22115,1.21125,1.21125,3.0,0.0
2020-12-08,1.2147,1.2147,1.2147,1.2147,0.0,0.0
2020-12-07,1.21605,1.21605,1.21605,1.21605,0.0,0.0
2020-12-04,1.21785,1.21785,1.21785,1.21785,0.0,0.0
2020-12-03,1.2183,1.2183,1.2183,1.2183,0.0,0.0
2020-12-02,1.214,1.214,1.214,1.214,0.0,0.0
2020-12-01,1.20895,1.20895,1.20895,1.20895,0.0,0.0
2020-11-30,1.1988,1.1988,1.1988,1.1988,0.0,0.0
2020-11-27,1.19975,1.19975,1.19975,1.19975,0.0,0.0
2020-11-25,1.19585,1.19585,1.19585,1.19585,0.0,0.0
2020-11-24,1.19245,1.19245,1.19245,1.19245,0.0,0.0
2020-11-23,1.18845,1.18845,1.18845,1.18845,0.0,0.0
2020-11-20,1.19005,1.19005,1.19005,1.19005,0.0,0.0
2020-11-19,1.19185,1.19185,1.19185,1.19185,0.0,0.0
2020-11-18,1.1906,1.1906,1.1906,1.1906,0.0,0.0
2020-11-17,1.19075,1.19075,1.19075,1.19075,0.0,0.0
