Date,Open,High,Low,Close,Volume,Open Interest
2019-07-15,1.12705,1.12815,1.1264,1.12665,235.0,524.0
2019-07-12,1.12645,1.1275,1.12475,1.1273,815.0,649.0
2019-07-11,1.127,1.1287,1.1255,1.126,655.0,844.0
2019-07-10,1.1212,1.12585,1.1212,1.12575,2253.0,1752.0
2019-07-09,1.12215,1.1222,1.1202,1.1214,304.0,1704.0
2019-07-08,1.1235,1.12405,1.1217,1.12195,532.0,1856.0
2019-07-05,1.12945,1.12955,1.12155,1.12295,2834.0,1847.0
2019-07-03,1.1302,1.13165,1.128,1.1292,2176.0,961.0
2019-07-02,1.1297,1.13315,1.1288,1.13025,1371.0,1240.0
2019-07-01,1.1366,1.1369,1.1296,1.1298,1839.0,1433.0
2019-06-28,1.13785,1.1405,1.1368,1.1391,1671.0,1406.0
2019-06-27,1.1386,1.13925,1.13655,1.13875,1185.0,1410.0
2019-06-26,1.13755,1.1409,1.1369,1.13875,1276.0,1460.0
2019-06-25,1.14285,1.14305,1.13655,1.1393,2405.0,1255.0
2019-06-24,1.1395,1.1421,1.1393,1.1421,2077.0,1277.0
2019-06-21,1.1316,1.1398,1.13075,1.13895,1920.0,1252.0
2019-06-20,1.12585,1.13375,1.1253,1.1315,1547.0,1384.0
2019-06-19,1.12195,1.12735,1.1214,1.1271,1686.0,1434.0
2019-06-18,1.12515,1.1268,1.12075,1.12195,1254.0,1182.0
2019-06-17,1.124,1.1274,1.1231,1.12435,1264.0,1170.0
2019-06-14,1.13065,1.13155,1.1231,1.12345,2221.0,961.0
2019-06-13,1.1321,1.13295,1.12985,1.13075,2626.0,2010.0
2019-06-12,1.13595,1.1372,1.1314,1.13175,3946.0,968.0
2019-06-11,1.13465,1.1368,1.13375,1.1365,3276.0,809.0
2019-06-10,1.135,1.1355,1.13245,1.13485,989.0,789.0
2019-06-07,1.13055,1.13795,1.12915,1.1373,1123.0,895.0
2019-06-06,1.12615,1.13395,1.1258,1.13075,995.0,746.0
2019-06-05,1.1297,1.1337,1.1257,1.1264,1345.0,744.0
2019-06-04,1.12835,1.1312,1.1269,1.12975,1811.0,699.0
2019-06-03,1.1215,1.12995,1.12015,1.12975,2804.0,685.0
2019-05-31,1.1172,1.1215,1.1172,1.1214,801.0,648.0
2019-05-30,1.1175,1.1182,1.1163,1.11765,2616.0,659.0
2019-05-29,1.12,1.1202,1.11685,1.1178,1682.0,720.0
2019-05-28,1.12605,1.12605,1.12065,1.1211,1704.0,553.0
2019-05-24,1.12275,1.1257,1.12275,1.12535,902.0,597.0
2019-05-23,1.11975,1.12325,1.1156,1.1231,1310.0,686.0
2019-05-22,1.121,1.1229,1.1205,1.1211,728.0,737.0
2019-05-21,1.1198,1.123,1.11935,1.121,809.0,506.0
2019-05-20,1.1216,1.1223,1.1207,1.12205,383.0,510.0
2019-05-17,1.1229,1.12325,1.121,1.12135,697.0,554.0
2019-05-16,1.1273,1.1273,1.1225,1.1225,916.0,629.0
2019-05-15,1.126,1.128,1.124,1.12615,1096.0,562.0
2019-05-14,1.13,1.13,1.126,1.12665,884.0,489.0
2019-05-13,1.1289,1.132,1.1288,1.12915,1013.0,516.0
2019-05-10,1.1299,1.1312,1.1281,1.12925,303.0,510.0
2019-05-09,1.125,1.131,1.124,1.1286,1035.0,614.0
2019-05-08,1.127,1.1275,1.125,1.12565,350.0,554.0
2019-05-07,1.128,1.128,1.1235,1.12475,858.0,559.0
2019-05-06,1.12485,1.1275,1.12485,1.1271,514.0,539.0
2019-05-03,1.1245,1.1271,1.1205,1.12625,921.0,448.0
2019-05-02,1.1272,1.1285,1.124,1.1243,744.0,425.0
2019-05-01,1.12855,1.1331,1.126,1.1268,668.0,382.0
2019-04-30,1.12575,1.13,1.1251,1.1294,1170.0,433.0
2019-04-29,1.12225,1.126,1.12205,1.12565,652.0,316.0
2019-04-26,1.1244,1.1244,1.12,1.1228,553.0,236.0
2019-04-25,1.1202,1.123,1.1194,1.12035,473.0,282.0
2019-04-24,1.12645,1.1301,1.122,1.122,1171.0,229.0
2019-04-23,1.12935,1.12965,1.12815,1.12955,873.0,238.0
2019-04-22,1.134,1.134,1.134,1.134,684.0,238.0
2019-04-18,1.13665,1.13665,1.13105,1.13105,826.0,247.0
2019-04-17,1.1381,1.1396,1.1368,1.1381,85.0,249.0
2019-04-16,1.1392,1.13985,1.13645,1.13745,2291.0,182.0
2019-04-15,1.13905,1.1398,1.13905,1.13905,17.0,192.0
2019-04-12,1.13695,1.1402,1.1367,1.13845,889.0,149.0
2019-04-11,1.13445,1.1366,1.13445,1.13445,5.0,149.0
2019-04-10,1.135,1.13815,1.13235,1.13625,59.0,155.0
2019-04-09,1.13715,1.1377,1.1355,1.136,2488.0,302.0
2019-04-08,1.1322,1.1358,1.1311,1.1356,636.0,210.0
2019-04-05,1.13115,1.1326,1.13115,1.13115,2754.0,163.0
2019-04-04,1.1315,1.1315,1.1312,1.1315,844.0,163.0
2019-04-03,1.13415,1.13425,1.13315,1.1337,3087.0,158.0
2019-04-02,1.12965,1.12965,1.1292,1.12965,0.0,158.0
2019-04-01,1.1312,1.134,1.1312,1.1312,181.0,103.0
2019-03-29,1.13155,1.1336,1.13155,1.13155,237.0,69.0
2019-03-28,1.1327,1.1327,1.1324,1.1327,178.0,70.0
2019-03-27,1.1369,1.1369,1.1358,1.1369,955.0,134.0
2019-03-26,1.1385,1.1422,1.138,1.1385,202.0,39.0
2019-03-25,1.1419,1.1428,1.1419,1.1419,2226.0,39.0
2019-03-22,1.1402,1.149,1.1392,1.1402,737.0,24.0
2019-03-21,1.1463,1.1463,1.1463,1.1463,0.0,24.0
2019-03-20,1.1559,1.1559,1.1458,1.1559,370.0,24.0
2019-03-19,1.14655,1.14655,1.14655,1.14655,3.0,25.0
2019-03-18,1.1455,1.1455,1.145,1.14505,4468.0,1.0
2019-03-15,1.1434,1.1434,1.1434,1.1434,0.0,1.0
2019-03-14,1.1412,1.1412,1.1412,1.1412,0.0,1.0
2019-03-13,1.1447,1.1447,1.1447,1.1447,0.0,1.0
2019-03-12,1.14145,1.14145,1.14145,1.14145,0.0,1.0
2019-03-11,1.13585,1.13585,1.13585,1.13585,0.0,1.0
2019-03-08,1.13625,1.13625,1.13625,1.13625,0.0,1.0
2019-03-07,1.13025,1.13025,1.13025,1.13025,0.0,1.0
2019-03-06,1.1431,1.1431,1.1431,1.1431,0.0,1.0
2019-03-05,1.14275,1.14275,1.14275,1.14275,0.0,1.0
2019-03-04,1.1457,1.1457,1.1457,1.1457,0.0,1.0
2019-03-01,1.1485,1.1485,1.1485,1.1485,0.0,1.0
2019-02-28,1.15075,1.15075,1.15075,1.15075,0.0,1.0
2019-02-27,1.157,1.157,1.15015,1.15015,1.0,0.0
2019-02-26,1.15295,1.15295,1.15295,1.15295,0.0,0.0
2019-02-25,1.14995,1.14995,1.14995,1.14995,0.0,0.0
2019-02-22,1.1473,1.1473,1.1473,1.1473,0.0,0.0
2019-02-21,1.1472,1.1472,1.1472,1.1472,0.0,0.0
2019-02-20,1.149,1.149,1.149,1.149,0.0,0.0
2019-02-19,1.14815,1.14815,1.14815,1.14815,0.0,0.0
