Date,Open,High,Low,Close,Volume,Open Interest
2020-08-17,1.1842,1.18805,1.18295,1.1874,62.0,1547.0
2020-08-14,1.18085,1.185,1.17825,1.1838,169.0,1595.0
2020-08-13,1.18065,1.1864,1.1795,1.17995,986.0,1585.0
2020-08-12,1.1732,1.18175,1.17125,1.17855,292.0,1458.0
2020-08-11,1.1743,1.18085,1.1724,1.1747,423.0,1484.0
2020-08-10,1.17885,1.1802,1.17385,1.17455,504.0,1407.0
2020-08-07,1.18665,1.1884,1.1758,1.17845,520.0,1599.0
2020-08-06,1.1876,1.19175,1.1821,1.1877,657.0,1537.0
2020-08-05,1.17985,1.1907,1.17965,1.1864,2098.0,1764.0
2020-08-04,1.17625,1.18085,1.17255,1.1785,594.0,1647.0
2020-08-03,1.1778,1.17995,1.16995,1.17635,471.0,1675.0
2020-07-31,1.18465,1.19115,1.17665,1.17925,417.0,1648.0
2020-07-30,1.1798,1.18515,1.1736,1.18405,959.0,1891.0
2020-07-29,1.1727,1.18105,1.172,1.177,594.0,1930.0
2020-07-28,1.17655,1.1778,1.1705,1.17285,690.0,2129.0
2020-07-27,1.1651,1.17855,1.16495,1.1756,819.0,2076.0
2020-07-24,1.161,1.1663,1.15875,1.16425,772.0,1979.0
2020-07-23,1.1578,1.1632,1.15475,1.1615,2598.0,2156.0
2020-07-22,1.15375,1.16075,1.15145,1.1576,1677.0,1808.0
2020-07-21,1.1452,1.1546,1.14305,1.15375,608.0,1819.0
2020-07-20,1.14315,1.1474,1.14105,1.14485,1144.0,1675.0
2020-07-17,1.13875,1.14515,1.13835,1.1445,491.0,1661.0
2020-07-16,1.1425,1.14485,1.13785,1.1386,645.0,1717.0
2020-07-15,1.1416,1.146,1.14,1.14145,955.0,1577.0
2020-07-14,1.13565,1.14165,1.1335,1.1403,359.0,1612.0
2020-07-13,1.13205,1.13845,1.1311,1.1363,427.0,1607.0
2020-07-10,1.1291,1.13335,1.1264,1.13085,916.0,1841.0
2020-07-09,1.1344,1.13795,1.129,1.13055,504.0,1689.0
2020-07-08,1.1283,1.13615,1.1273,1.1346,215.0,1684.0
2020-07-07,1.1322,1.1342,1.12695,1.12965,494.0,1630.0
2020-07-06,1.1253,1.1356,1.123,1.13265,548.0,1241.0
2020-07-02,1.12635,1.13125,1.1235,1.12385,222.0,1240.0
2020-07-01,1.12495,1.1286,1.11975,1.12565,305.0,1139.0
2020-06-30,1.12565,1.1273,1.1202,1.12465,199.0,1137.0
2020-06-29,1.12535,1.1299,1.1231,1.1247,136.0,1185.0
2020-06-26,1.12375,1.1251,1.1208,1.12395,115.0,1191.0
2020-06-25,1.1263,1.1272,1.1204,1.1229,154.0,1213.0
2020-06-24,1.13245,1.1339,1.12625,1.1273,138.0,1233.0
2020-06-23,1.128,1.13625,1.12485,1.1326,142.0,1197.0
2020-06-22,1.1185,1.1284,1.1184,1.12745,179.0,1109.0
2020-06-19,1.12205,1.12685,1.11835,1.12005,244.0,1077.0
2020-06-18,1.126,1.12755,1.12015,1.12235,127.0,1070.0
2020-06-17,1.12805,1.1309,1.1223,1.1247,141.0,1068.0
2020-06-16,1.13455,1.1369,1.12445,1.1288,349.0,892.0
2020-06-15,1.1258,1.13485,1.12445,1.13335,197.0,925.0
2020-06-12,1.1307,1.1357,1.123,1.1248,223.0,852.0
2020-06-11,1.14005,1.142,1.13065,1.13175,214.0,834.0
2020-06-10,1.13525,1.1439,1.13405,1.14105,129.0,853.0
2020-06-09,1.13135,1.1381,1.126,1.1363,52.0,860.0
2020-06-08,1.1314,1.1337,1.1287,1.13225,25.0,864.0
2020-06-05,1.1346,1.14,1.12975,1.13115,329.0,1067.0
2020-06-04,1.1234,1.13795,1.1214,1.1368,587.0,953.0
2020-06-03,1.1195,1.12765,1.1186,1.12565,1057.0,189.0
2020-06-02,1.1142,1.1214,1.1134,1.11905,46.0,198.0
2020-06-01,1.1122,1.1171,1.11185,1.11505,88.0,138.0
2020-05-29,1.10925,1.11625,1.1089,1.1116,99.0,162.0
2020-05-28,1.1041,1.1111,1.1011,1.11075,182.0,46.0
2020-05-27,1.1,1.10485,1.0953,1.10095,83.0,51.0
2020-05-26,1.0924,1.10135,1.08895,1.1013,83.0,40.0
2020-05-22,1.09695,1.0972,1.0905,1.09065,24.0,30.0
2020-05-21,1.0989,1.10275,1.0957,1.0975,42.0,38.0
2020-05-20,1.09485,1.1018,1.09395,1.1006,52.0,41.0
2020-05-19,1.0925,1.09955,1.09235,1.09665,47.0,31.0
2020-05-18,1.0871,1.09435,1.08235,1.0935,3.0,28.0
2020-05-15,1.0823,1.08675,1.0814,1.08345,1.0,28.0
2020-05-14,1.0816,1.08405,1.08,1.0804,3.0,26.0
2020-05-13,1.0837,1.0914,1.0837,1.0837,0.0,26.0
2020-05-12,1.0875,1.0903,1.08105,1.0875,0.0,26.0
2020-05-11,1.0831,1.0868,1.08275,1.0831,0.0,26.0
2020-05-08,1.08645,1.08935,1.08415,1.08645,0.0,26.0
2020-05-07,1.08495,1.0852,1.07935,1.08495,0.0,26.0
2020-05-06,1.08275,1.08275,1.08105,1.08275,0.0,26.0
2020-05-05,1.0875,1.0945,1.0854,1.0875,0.0,26.0
2020-05-04,1.093,1.093,1.0924,1.093,0.0,26.0
2020-05-01,1.10015,1.10395,1.09635,1.10015,0.0,26.0
2020-04-30,1.0977,1.0993,1.0862,1.0977,0.0,26.0
2020-04-29,1.0896,1.0906,1.085,1.0896,0.0,26.0
2020-04-28,1.08635,1.09125,1.08415,1.08635,0.0,26.0
2020-04-27,1.086,1.08845,1.086,1.086,0.0,26.0
2020-04-24,1.0827,1.08545,1.076,1.0827,25.0,1.0
2020-04-23,1.0831,1.0871,1.0789,1.0814,1.0,0.0
2020-04-22,1.0849,1.09115,1.08375,1.0849,0.0,0.0
2020-04-21,1.0884,1.09075,1.08525,1.0884,0.0,0.0
2020-04-20,1.0894,1.09245,1.0878,1.0894,0.0,0.0
2020-04-17,1.0901,1.0921,1.08495,1.0901,0.0,0.0
2020-04-16,1.08795,1.08795,1.08545,1.08795,0.0,0.0
2020-04-15,1.0957,1.0957,1.08945,1.0957,0.0,0.0
2020-04-14,1.1019,1.1019,1.1019,1.1019,0.0,0.0
