Date,Open,High,Low,Close,Volume,Open Interest
2000-09-18,0.8536,0.8564,0.8531,0.856,4406.0,13975.0
2000-09-15,0.8606,0.8647,0.855,0.8556,12086.0,16639.0
2000-09-14,0.8698,0.87,0.8608,0.8647,12792.0,22892.0
2000-09-13,0.866,0.8671,0.8602,0.8615,16073.0,32721.0
2000-09-12,0.8613,0.8692,0.859,0.8629,14897.0,48610.0
2000-09-11,0.8604,0.863,0.8572,0.8589,14602.0,58733.0
2000-09-08,0.8734,0.874,0.8644,0.8699,18510.0,64658.0
2000-09-07,0.8677,0.877,0.8677,0.874,17334.0,68916.0
2000-09-06,0.8822,0.8827,0.8694,0.8709,23362.0,71625.0
2000-09-05,0.889,0.8902,0.8856,0.8894,14398.0,71963.0
2000-09-01,0.8913,0.9025,0.8899,0.9004,14552.0,69812.0
2000-08-31,0.8914,0.8935,0.885,0.8885,16292.0,70171.0
2000-08-30,0.8924,0.8945,0.8916,0.8935,10023.0,69463.0
2000-08-29,0.8967,0.8989,0.8923,0.8933,13649.0,69975.0
2000-08-28,0.902,0.9024,0.8995,0.901,5336.0,69770.0
2000-08-25,0.9029,0.9082,0.9025,0.9037,11729.0,70009.0
2000-08-24,0.9018,0.9062,0.901,0.9034,9572.0,69648.0
2000-08-23,0.8945,0.9016,0.8936,0.9014,12900.0,71043.0
2000-08-22,0.8986,0.9005,0.8962,0.8987,8689.0,68666.0
2000-08-21,0.9037,0.9061,0.9023,0.9032,7168.0,68796.0
2000-08-18,0.9136,0.9137,0.9076,0.9082,15675.0,68003.0
2000-08-17,0.9163,0.9191,0.9151,0.9188,8776.0,67819.0
2000-08-16,0.909,0.9174,0.9089,0.9173,15736.0,67655.0
2000-08-15,0.9135,0.9157,0.9122,0.9149,9500.0,66772.0
2000-08-14,0.9026,0.9086,0.9019,0.907,8263.0,68079.0
2000-08-11,0.9151,0.9151,0.9042,0.9052,12075.0,67632.0
2000-08-10,0.9061,0.9117,0.9054,0.9097,9715.0,67886.0
2000-08-09,0.8997,0.903,0.8988,0.9007,8551.0,67837.0
2000-08-08,0.9068,0.907,0.9009,0.904,13317.0,67491.0
2000-08-07,0.9114,0.9134,0.9087,0.9106,5670.0,65961.0
2000-08-04,0.9043,0.9123,0.9037,0.9102,11996.0,65985.0
2000-08-03,0.9057,0.91,0.9024,0.9093,20678.0,67578.0
2000-08-02,0.9167,0.9181,0.9139,0.9146,13344.0,61429.0
2000-08-01,0.929,0.9317,0.9215,0.923,12402.0,61157.0
2000-07-31,0.9266,0.9321,0.9264,0.9296,10089.0,60506.0
2000-07-28,0.9303,0.9307,0.9252,0.9261,11684.0,60015.0
2000-07-27,0.9417,0.9426,0.9344,0.9351,15445.0,60509.0
2000-07-26,0.9425,0.9464,0.942,0.9446,6238.0,61139.0
2000-07-25,0.9433,0.9452,0.9406,0.941,11616.0,61431.0
2000-07-24,0.9357,0.9372,0.9341,0.9357,5661.0,59232.0
2000-07-21,0.9387,0.9411,0.9352,0.9401,5753.0,58813.0
2000-07-20,0.9258,0.9365,0.9251,0.936,18983.0,59519.0
2000-07-19,0.9252,0.9282,0.9226,0.9265,11213.0,57336.0
2000-07-18,0.9388,0.9393,0.9265,0.9299,13096.0,57473.0
2000-07-17,0.9387,0.9404,0.9375,0.9391,6010.0,55545.0
2000-07-14,0.9378,0.9426,0.9353,0.9413,7310.0,55273.0
2000-07-13,0.9385,0.9413,0.9364,0.94,11191.0,54769.0
2000-07-12,0.9532,0.9533,0.9431,0.9458,15934.0,54480.0
2000-07-11,0.9564,0.9576,0.9532,0.9559,8512.0,54470.0
2000-07-10,0.9557,0.9589,0.9549,0.9585,7794.0,54182.0
2000-07-07,0.9523,0.9568,0.95,0.951,11244.0,53971.0
2000-07-06,0.9592,0.9609,0.9537,0.9548,11400.0,53652.0
2000-07-05,0.9583,0.9616,0.9561,0.9579,13782.0,53876.0
2000-07-03,0.9536,0.9575,0.9527,0.9552,5073.0,52156.0
2000-06-30,0.9602,0.9647,0.9567,0.9581,12167.0,52096.0
2000-06-29,0.9549,0.9582,0.9542,0.9567,9928.0,52613.0
2000-06-28,0.9459,0.9514,0.9447,0.9479,7543.0,51700.0
2000-06-27,0.9452,0.9516,0.9423,0.9514,9690.0,51408.0
2000-06-26,0.937,0.9444,0.9369,0.943,8235.0,52825.0
2000-06-23,0.9461,0.9473,0.9389,0.9411,8013.0,54954.0
2000-06-22,0.9451,0.949,0.9395,0.9429,14567.0,54863.0
2000-06-21,0.9515,0.9527,0.9483,0.9502,13530.0,52470.0
2000-06-20,0.9591,0.9642,0.959,0.9633,7257.0,53664.0
2000-06-19,0.9695,0.9695,0.9631,0.9646,11835.0,52683.0
2000-06-16,0.962,0.9713,0.9614,0.971,14245.0,54021.0
2000-06-15,0.9572,0.9607,0.9569,0.9591,10775.0,49369.0
2000-06-14,0.9689,0.9706,0.9632,0.9662,20951.0,46673.0
2000-06-13,0.9635,0.9684,0.9633,0.9664,17241.0,35093.0
2000-06-12,0.9587,0.9618,0.9578,0.9593,7289.0,24157.0
2000-06-09,0.9545,0.9604,0.9522,0.9597,5150.0,19498.0
2000-06-08,0.9725,0.9743,0.957,0.9627,9173.0,16850.0
2000-06-07,0.962,0.9691,0.9607,0.9677,3963.0,9726.0
2000-06-06,0.9557,0.9664,0.9557,0.9613,3736.0,6918.0
2000-06-05,0.9494,0.9555,0.9482,0.9549,1148.0,4417.0
2000-06-02,0.9421,0.9565,0.942,0.9486,1743.0,3753.0
2000-06-01,0.9396,0.9397,0.935,0.9393,439.0,2885.0
2000-05-31,0.937,0.9435,0.9335,0.9427,419.0,2621.0
2000-05-30,0.9428,0.9444,0.9379,0.9388,417.0,2544.0
2000-05-26,0.921,0.94,0.92,0.9383,395.0,2307.0
2000-05-25,0.906,0.9192,0.906,0.9192,561.0,2267.0
2000-05-24,0.9178,0.919,0.9135,0.9139,69.0,2165.0
2000-05-23,0.9168,0.9191,0.91,0.9128,116.0,2192.0
2000-05-22,0.9064,0.9137,0.9058,0.9117,140.0,2145.0
2000-05-19,0.8935,0.9068,0.8935,0.906,153.0,2130.0
2000-05-18,0.901,0.9038,0.8998,0.9005,160.0,2100.0
2000-05-17,0.9,0.9034,0.8975,0.9025,210.0,1961.0
2000-05-16,0.914,0.915,0.911,0.9111,134.0,1853.0
2000-05-15,0.9225,0.9234,0.9203,0.9203,29.0,1853.0
2000-05-12,0.9157,0.927,0.9153,0.9263,115.0,1840.0
2000-05-11,0.916,0.916,0.9074,0.9074,37.0,1792.0
2000-05-10,0.919,0.921,0.9168,0.917,113.0,1771.0
2000-05-09,0.905,0.9158,0.905,0.9146,62.0,1750.0
2000-05-08,0.901,0.905,0.9,0.905,19.0,1715.0
2000-05-05,0.9075,0.909,0.9,0.9065,59.0,1693.0
2000-05-04,0.9035,0.9035,0.8982,0.8982,125.0,1666.0
2000-05-03,0.8985,0.905,0.8985,0.9043,405.0,1591.0
2000-05-02,0.9199,0.9207,0.9134,0.9161,202.0,1498.0
2000-05-01,0.9177,0.9255,0.9175,0.9252,27.0,1396.0
2000-04-28,0.9182,0.9195,0.9165,0.9178,80.0,1375.0
2000-04-27,0.9258,0.931,0.9162,0.9192,238.0,1323.0
2000-04-26,0.9273,0.9334,0.927,0.9323,108.0,1277.0
2000-04-25,0.9387,0.939,0.9277,0.9287,89.0,1254.0
2000-04-24,0.9488,0.9488,0.9483,0.9486,4.0,1253.0
