Date,Open,High,Low,Close,Volume,Open Interest
2022-05-16,1.05325,1.05325,1.05325,1.05325,0,0
2022-05-17,1.0639,1.0639,1.0639,1.0639,0,0
2022-05-18,1.05665,1.05665,1.05665,1.05665,0,0
2022-05-19,1.069,1.069,1.069,1.069,0,0
2022-05-20,1.06365,1.06365,1.06365,1.06365,0,0
2022-05-23,1.07845,1.07845,1.07845,1.07845,0,0
2022-05-24,1.0815,1.0815,1.0815,1.0815,0,0
2022-05-25,1.0777,1.0777,1.0777,1.0777,0,0
2022-05-26,1.0807,1.0807,1.0807,1.0807,0,0
2022-05-27,1.0818,1.0818,1.0818,1.0818,0,0
2022-05-31,1.0822,1.0822,1.0822,1.0822,0,0
2022-06-01,1.074,1.074,1.074,1.074,0,0
2022-06-02,1.08235,1.08235,1.08235,1.08235,0,0
2022-06-03,1.08045,1.08045,1.08045,1.08045,0,0
2022-06-06,1.0773,1.0773,1.0773,1.0773,0,0
2022-06-07,1.0789,1.0789,1.0789,1.0789,0,0
2022-06-08,1.07965,1.07965,1.07965,1.07965,0,0
2022-06-09,1.07065,1.07065,1.07065,1.07065,0,0
2022-06-10,1.0604,1.0604,1.0604,1.0604,0,0
2022-06-13,1.05385,1.05385,1.0509,1.0509,28,28
2022-06-14,1.0503,1.0503,1.0503,1.0503,0,28
2022-06-15,1.0515,1.0515,1.0515,1.0515,0,28
2022-06-16,1.0473,1.06645,1.0473,1.06645,10,28
2022-06-17,1.058,1.058,1.058,1.058,0,28
2022-06-21,1.06205,1.06205,1.06205,1.06205,0,28
2022-06-22,1.0656,1.0656,1.0656,1.0656,0,28
2022-06-23,1.06075,1.06075,1.06075,1.06075,0,28
2022-06-24,1.0635,1.0635,1.0635,1.0635,0,28
2022-06-27,1.06695,1.06695,1.06695,1.06695,0,28
2022-06-28,1.06065,1.06065,1.06065,1.06065,0,28
2022-06-29,1.0525,1.0525,1.0525,1.0525,0,28
2022-06-30,1.058,1.058,1.0562,1.0562,2,30
2022-07-01,1.0505,1.0505,1.0505,1.0505,0,30
2022-07-05,1.03395,1.03395,1.03395,1.03395,0,30
2022-07-06,1.02575,1.02575,1.02575,1.02575,0,30
2022-07-07,1.0209,1.0231,1.0209,1.0231,1,30
2022-07-08,1.0247,1.0247,1.0247,1.0247,0,30
2022-07-11,1.01325,1.0134,1.01255,1.0134,2,31
2022-07-12,1.0116,1.0116,1.0116,1.0116,0,31
2022-07-13,1.0137,1.0137,1.0137,1.0137,0,31
2022-07-14,1.01005,1.01005,1.01005,1.01005,0,31
2022-07-15,1.015,1.015,1.015,1.015,0,31
2022-07-18,1.0221,1.0221,1.0221,1.0221,0,31
2022-07-19,1.0222,1.0336,1.0222,1.03,1812,1754
2022-07-20,1.03025,1.0328,1.02325,1.0244,396,2065
2022-07-21,1.0253,1.031,1.0233,1.0255,1086,3418
2022-07-22,1.0282,1.0301,1.0196,1.02575,1086,3418
2022-07-25,1.0248,1.03095,1.0248,1.02835,792,3885
2022-07-26,1.02905,1.02905,1.01795,1.0183,989,4711
2022-07-27,1.02005,1.028,1.01675,1.0257,809,5088
2022-07-28,1.0271,1.0271,1.01745,1.02335,169,5172
2022-07-29,1.0255,1.0307,1.02135,1.02765,90,5184
2022-08-01,1.0266,1.0329,1.02625,1.03095,49,5190
2022-08-02,1.0329,1.0329,1.02275,1.02275,25,5190
2022-08-03,1.021,1.02365,1.018,1.0208,24,5189
2022-08-04,1.024,1.0302,1.024,1.0302,309,5445
2022-08-05,1.0275,1.02835,1.0205,1.0228,661,5209
2022-08-08,1.0256,1.0264,1.02375,1.0238,444,5561
2022-08-09,1.0256,1.02965,1.02555,1.02555,268,5679
2022-08-10,1.0254,1.0414,1.02535,1.03535,393,5843
2022-08-11,1.0331,1.03965,1.0331,1.0372,751,6492
2022-08-12,1.03625,1.0367,1.02985,1.0312,108,6531
2022-08-15,1.0301,1.0301,1.0201,1.0201,1721,7367
2022-08-16,1.01985,1.02295,1.0169,1.0213,5225,7477
2022-08-17,1.02115,1.02435,1.0198,1.0228,773,7208
