Date,Open,High,Low,Close,Volume,Open Interest
2020-11-16,1.1841,1.18685,1.1815,1.1833,174.0,1186.0
2020-11-13,1.18105,1.1837,1.18,1.1833,414.0,1272.0
2020-11-12,1.1778,1.1823,1.176,1.18075,250.0,1306.0
2020-11-11,1.1819,1.18335,1.17475,1.1775,552.0,1632.0
2020-11-10,1.1825,1.18445,1.17815,1.18145,1457.0,1771.0
2020-11-09,1.1887,1.1921,1.17975,1.18335,706.0,1786.0
2020-11-06,1.1822,1.1893,1.1798,1.18845,406.0,1756.0
2020-11-05,1.1741,1.18615,1.1713,1.1841,743.0,1732.0
2020-11-04,1.1733,1.1773,1.1607,1.1728,560.0,1718.0
2020-11-03,1.16435,1.17435,1.16435,1.17095,238.0,1764.0
2020-11-02,1.16465,1.1659,1.1626,1.1635,319.0,1918.0
2020-10-30,1.16765,1.17075,1.16445,1.1648,290.0,1977.0
2020-10-29,1.17595,1.1762,1.1655,1.1675,304.0,2057.0
2020-10-28,1.1785,1.17895,1.1723,1.1756,600.0,1955.0
2020-10-27,1.1818,1.1843,1.1798,1.1818,403.0,1874.0
2020-10-26,1.1866,1.1866,1.1809,1.1819,438.0,1684.0
2020-10-23,1.1817,1.18695,1.1793,1.18645,413.0,1704.0
2020-10-22,1.1858,1.1872,1.18175,1.1824,336.0,1767.0
2020-10-21,1.18395,1.18865,1.183,1.1868,894.0,1620.0
2020-10-20,1.1781,1.1847,1.1767,1.1833,612.0,1687.0
2020-10-19,1.1722,1.18005,1.17105,1.1775,435.0,1639.0
2020-10-16,1.17095,1.17525,1.17015,1.1726,248.0,1622.0
2020-10-15,1.1758,1.1765,1.16965,1.1705,247.0,1616.0
2020-10-14,1.1757,1.1779,1.1728,1.17595,326.0,1615.0
2020-10-13,1.18075,1.1823,1.17395,1.1753,256.0,1617.0
2020-10-12,1.182,1.18345,1.1796,1.18185,177.0,1614.0
2020-10-09,1.17715,1.18405,1.1767,1.1834,336.0,1533.0
2020-10-08,1.1775,1.179,1.1742,1.1766,230.0,1565.0
