Date,Open,High,Low,Close,Volume,Open Interest
2008-03-17,10092.0,10440.0,10075.0,10299.0,12199.0,65771.0
2008-03-14,9964.0,10115.0,9888.0,10081.0,12199.0,65771.0
2008-03-13,9862.0,10024.0,9834.0,9901.0,23154.0,82753.0
2008-03-12,9668.0,9843.0,9662.0,9805.0,18645.0,103313.0
2008-03-11,9832.0,9863.0,9656.0,9675.0,5868.0,138204.0
2008-03-10,9757.0,9852.0,9750.0,9827.0,1883.0,164495.0
2008-03-07,9755.0,9870.0,9690.0,9752.0,2928.0,203080.0
2008-03-06,9629.0,9759.0,9620.0,9721.0,318.0,223374.0
2008-03-05,9672.0,9692.0,9605.0,9636.0,1268.0,222725.0
2008-03-04,9676.0,9750.0,9664.0,9705.0,1235.0,221881.0
2008-03-03,9659.0,9757.0,9651.0,9705.0,924.0,220224.0
2008-02-29,9504.0,9657.0,9498.0,9629.0,1907.0,220355.0
2008-02-28,9412.0,9529.0,9387.0,9503.0,3981.0,219806.0
2008-02-27,9334.0,9452.0,9324.0,9408.0,4158.0,211658.0
2008-02-26,9266.0,9343.0,9260.0,9337.0,2097.0,204619.0
2008-02-25,9334.0,9346.0,9252.0,9267.0,967.0,206823.0
2008-02-22,9332.0,9386.0,9311.0,9368.0,1234.0,209500.0
2008-02-21,9270.0,9350.0,9246.0,9328.0,3137.0,208417.0
2008-02-20,9291.0,9323.0,9244.0,9262.0,785.0,209752.0
2008-02-19,9291.0,9348.0,9249.0,9312.0,1390.0,207794.0
2008-02-15,9290.0,9343.0,9251.0,9308.0,564.0,202900.0
2008-02-14,9264.0,9300.0,9225.0,9285.0,1036.0,201685.0
2008-02-13,9344.0,9369.0,9247.0,9264.0,2948.0,203608.0
2008-02-12,9376.0,9388.0,9320.0,9338.0,486.0,202506.0
2008-02-11,9343.0,9427.0,9310.0,9373.0,673.0,204682.0
2008-02-08,9334.0,9355.0,9304.0,9336.0,1080.0,196918.0
2008-02-07,9418.0,9467.0,9296.0,9331.0,6724.0,202122.0
2008-02-06,9390.0,9446.0,9389.0,9409.0,2366.0,194883.0
2008-02-05,9401.0,9405.0,9308.0,9379.0,13775.0,196732.0
2008-02-04,9417.0,9418.0,9366.0,9398.0,818.0,184819.0
2008-02-01,9424.0,9485.0,9390.0,9422.0,915.0,189309.0
2008-01-31,9445.0,9490.0,9385.0,9425.0,913.0,183874.0
2008-01-30,9374.0,9447.0,9335.0,9382.0,1702.0,182406.0
2008-01-29,9374.0,9432.0,9355.0,9380.0,3438.0,177695.0
2008-01-28,9399.0,9468.0,9376.0,9397.0,886.0,171975.0
2008-01-25,9367.0,9404.0,9302.0,9380.0,1772.0,171866.0
2008-01-24,9410.0,9472.0,9363.0,9398.0,2993.0,172117.0
2008-01-23,9414.0,9565.0,9349.0,9493.0,1882.0,165464.0
2008-01-22,9406.0,9514.0,9380.0,9430.0,1882.0,165464.0
2008-01-18,9430.0,9449.0,9340.0,9394.0,7056.0,174679.0
2008-01-17,9351.0,9436.0,9318.0,9392.0,1056.0,178586.0
2008-01-16,9406.0,9493.0,9314.0,9342.0,2149.0,176706.0
2008-01-15,9290.0,9435.0,9282.0,9394.0,2619.0,175205.0
2008-01-14,9253.0,9367.0,9231.0,9288.0,851.0,170506.0
2008-01-11,9195.0,9262.0,9169.0,9237.0,1166.0,168848.0
2008-01-10,9152.0,9223.0,9139.0,9185.0,2003.0,175334.0
2008-01-09,9242.0,9251.0,9142.0,9195.0,452.0,167433.0
2008-01-08,9220.0,9251.0,9168.0,9206.0,4145.0,167935.0
2008-01-07,9291.0,9293.0,9179.0,9238.0,649.0,160037.0
2008-01-04,9201.0,9340.0,9192.0,9287.0,5002.0,162930.0
2008-01-03,9184.0,9308.0,9175.0,9215.0,3657.0,157845.0
2008-01-02,9030.0,9227.0,9022.0,9207.0,6256.0,159954.0
2007-12-31,8965.0,9048.0,8945.0,9013.0,995.0,156380.0
2007-12-28,8854.0,8981.0,8839.0,8936.0,6540.0,159034.0
2007-12-27,8827.0,8877.0,8792.0,8866.0,2853.0,169481.0
2007-12-26,8834.0,8853.0,8823.0,8831.0,5595.0,161812.0
2007-12-24,8849.0,8855.0,8813.0,8818.0,1537.0,155000.0
2007-12-21,8917.0,8935.0,8830.0,8849.0,3848.0,154987.0
2007-12-20,8906.0,8948.0,8901.0,8927.0,2019.0,145478.0
2007-12-19,8910.0,8960.0,8898.0,8909.0,1498.0,150415.0
2007-12-18,8949.0,8963.0,8900.0,8917.0,3305.0,151574.0
2007-12-17,8918.0,8957.0,8900.0,8943.0,1945.0,153592.0
2007-12-14,9001.0,9002.0,8892.0,8911.0,8129.0,151137.0
2007-12-13,9005.0,9067.0,8983.0,9006.0,6709.0,140410.0
2007-12-12,9129.0,9135.0,8980.0,9008.0,14748.0,106387.0
2007-12-11,9041.0,9150.0,9013.0,9120.0,11249.0,75549.0
2007-12-10,9062.0,9078.0,9037.0,9055.0,3569.0,42667.0
2007-12-07,9092.0,9094.0,9039.0,9053.0,2788.0,27557.0
2007-12-06,9117.0,9140.0,9070.0,9076.0,929.0,22123.0
2007-12-05,9210.0,9216.0,9116.0,9149.0,584.0,19165.0
2007-12-04,9161.0,9235.0,9156.0,9205.0,254.0,17440.0
2007-12-03,9113.0,9188.0,9110.0,9160.0,258.0,16302.0
2007-11-30,9214.0,9226.0,9096.0,9106.0,22.0,15196.0
2007-11-29,9205.0,9246.0,9179.0,9218.0,8.0,14936.0
2007-11-28,9326.0,9349.0,9169.0,9209.0,804.0,14846.0
2007-11-27,9430.0,9433.0,9300.0,9327.0,186.0,13938.0
2007-11-26,9350.0,9444.0,9310.0,9389.0,15.0,13416.0
2007-11-23,9327.0,9419.0,9279.0,9355.0,1008.0,13084.0
2007-11-21,9226.0,9354.0,9213.0,9324.0,75.0,12014.0
2007-11-20,9225.0,9248.0,9164.0,9236.0,121.0,11736.0
2007-11-19,9149.0,9236.0,9127.0,9225.0,25.0,11393.0
2007-11-16,9196.0,9232.0,9105.0,9148.0,1251.0,11346.0
2007-11-15,9117.0,9198.0,9076.0,9176.0,110.0,10991.0
2007-11-14,9136.0,9149.0,9072.0,9084.0,265.0,10464.0
2007-11-13,9181.0,9286.0,9136.0,9161.0,4.0,10195.0
2007-11-09,8999.0,9172.0,8987.0,9142.0,576.0,10144.0
2007-11-08,9019.0,9033.0,8946.0,9023.0,131.0,10006.0
2007-11-07,8845.0,9010.0,8843.0,8986.0,65.0,10097.0
2007-11-06,8867.0,8880.0,8838.0,8853.0,3.0,10023.0
2007-11-05,8846.0,8898.0,8839.0,8871.0,16.0,10033.0
2007-11-02,8878.0,8888.0,8798.0,8849.0,1101.0,9892.0
2007-11-01,8787.0,8863.0,8756.0,8831.0,1.0,8792.0
2007-10-31,8845.0,8862.0,8790.0,8801.0,1.0,8775.0
2007-10-30,8850.0,8874.0,8828.0,8842.0,205.0,8839.0
2007-10-29,8848.0,8900.0,8836.0,8859.0,48.0,8938.0
2007-10-26,8882.0,8909.0,8865.0,8888.0,142.0,8931.0
2007-10-25,8893.0,8923.0,8864.0,8902.0,143.0,8870.0
2007-10-24,8848.0,8922.0,8840.0,8900.0,171.0,8788.0
2007-10-23,8878.0,8896.0,8835.0,8857.0,47.0,8714.0
2007-10-22,8944.0,8972.0,8869.0,8902.0,200.0,8707.0
2007-10-19,8848.0,8875.0,8786.0,8854.0,1.0,8787.0
2007-10-18,8734.0,8820.0,8722.0,8793.0,4.0,8802.0
2007-10-17,8740.0,8755.0,8682.0,8729.0,89.0,8805.0
2007-10-16,8691.0,8735.0,8666.0,8719.0,158.0,8772.0
2007-10-15,8650.0,8687.0,8629.0,8683.0,20.0,8769.0
2007-10-12,8682.0,8685.0,8635.0,8657.0,103.0,8747.0
2007-10-11,8688.0,8697.0,8643.0,8683.0,107.0,8672.0
2007-10-10,8688.0,8707.0,8666.0,8687.0,183.0,8628.0
2007-10-09,8693.0,8720.0,8664.0,8692.0,1.0,8581.0
2007-10-05,8740.0,8751.0,8687.0,8711.0,1.0,8582.0
2007-10-04,8725.0,8759.0,8725.0,8743.0,25.0,8617.0
2007-10-03,8775.0,8813.0,8726.0,8731.0,166.0,8620.0
2007-10-02,8820.0,8835.0,8787.0,8796.0,90.0,8695.0
2007-10-01,8869.0,8875.0,8785.0,8804.0,51.0,8625.0
2007-09-28,8844.0,8884.0,8819.0,8882.0,19.0,8625.0
2007-09-27,8819.0,8852.0,8795.0,8816.0,20.0,8613.0
2007-09-26,8850.0,8861.0,8809.0,8832.0,7622.0,8615.0
2007-09-25,8928.0,8941.0,8871.0,8903.0,148.0,1005.0
2007-09-24,8859.0,8894.0,8838.0,8878.0,36.0,909.0
2007-09-21,8815.0,8845.0,8803.0,8835.0,6.0,885.0
2007-09-20,8799.0,8944.0,8799.0,8910.0,300.0,887.0
2007-09-19,8810.0,8819.0,8772.0,8788.0,18.0,537.0
2007-09-18,8895.0,8896.0,8772.0,8821.0,32.0,534.0
2007-09-17,8874.0,8874.0,8874.0,8874.0,0.0,514.0
2007-09-14,8869.0,8922.0,8857.0,8874.0,5.0,514.0
2007-09-13,8866.0,8866.0,8866.0,8866.0,2.0,512.0
2007-09-12,8960.0,8985.0,8950.0,8953.0,3.0,512.0
2007-09-11,8976.0,9012.0,8950.0,8950.0,1.0,512.0
2007-09-10,9060.0,9071.0,8980.0,9007.0,1.0,511.0
2007-09-07,9027.0,9027.0,9027.0,9027.0,902.0,7.0
2007-09-06,8870.0,8878.0,8869.0,8878.0,100.0,510.0
2007-09-05,8894.0,8894.0,8894.0,8894.0,16.0,410.0
2007-09-04,8813.0,8813.0,8813.0,8813.0,1.0,410.0
2007-08-31,8836.0,8836.0,8836.0,8836.0,16.0,410.0
2007-08-30,8847.0,8847.0,8847.0,8847.0,37.0,410.0
2007-08-29,8869.0,8869.0,8869.0,8869.0,0.0,411.0
2007-08-28,8935.0,8935.0,8935.0,8935.0,0.0,411.0
2007-08-27,8818.0,8818.0,8818.0,8818.0,300.0,486.0
2007-08-24,8811.0,8811.0,8811.0,8811.0,300.0,486.0
2007-08-23,8870.0,8870.0,8756.0,8834.0,300.0,486.0
2007-08-22,8903.0,8903.0,8903.0,8903.0,15.0,190.0
2007-08-21,8951.0,8967.0,8912.0,8953.0,15.0,190.0
2007-08-20,8895.0,8991.0,8895.0,8920.0,1.0,186.0
2007-08-17,8973.0,9163.0,8909.0,8990.0,6.0,186.0
2007-08-16,8946.0,9148.0,8835.0,9063.0,66.0,196.0
2007-08-15,8780.0,8790.0,8726.0,8773.0,1.0,138.0
2007-08-14,8663.0,8717.0,8663.0,8712.0,1.0,138.0
2007-08-13,8671.0,8671.0,8671.0,8671.0,0.0,138.0
2007-08-10,8677.0,8677.0,8677.0,8677.0,10.0,138.0
2007-08-09,8610.0,8682.0,8610.0,8678.0,10.0,138.0
2007-08-08,8580.0,8580.0,8580.0,8580.0,0.0,128.0
2007-08-07,8667.0,8685.0,8648.0,8659.0,1.0,128.0
2007-08-06,8673.0,8673.0,8673.0,8673.0,1.0,128.0
2007-08-03,8675.0,8675.0,8675.0,8675.0,1.0,128.0
2007-08-02,8623.0,8663.0,8611.0,8628.0,1.0,128.0
2007-08-01,8659.0,8723.0,8644.0,8670.0,94.0,128.0
2007-07-31,8651.0,8659.0,8613.0,8652.0,1.0,41.0
2007-07-30,8694.0,8694.0,8636.0,8654.0,2.0,41.0
2007-07-27,8657.0,8657.0,8657.0,8657.0,1.0,39.0
2007-07-26,8636.0,8670.0,8574.0,8669.0,1.0,39.0
2007-07-25,8539.0,8539.0,8539.0,8539.0,0.0,39.0
2007-07-24,8547.0,8547.0,8547.0,8547.0,19.0,39.0
2007-07-23,8484.0,8484.0,8484.0,8484.0,0.0,29.0
2007-07-20,8494.0,8516.0,8427.0,8489.0,8.0,29.0
2007-07-19,8435.0,8435.0,8435.0,8435.0,0.0,37.0
2007-07-18,8452.0,8464.0,8427.0,8450.0,1.0,37.0
2007-07-17,8417.0,8417.0,8417.0,8417.0,3.0,36.0
2007-07-16,8467.0,8467.0,8443.0,8457.0,3.0,36.0
2007-07-13,8443.0,8443.0,8443.0,8443.0,10.0,33.0
2007-07-12,8426.0,8437.0,8408.0,8417.0,10.0,33.0
2007-07-11,8448.0,8448.0,8448.0,8448.0,0.0,23.0
2007-07-10,8449.0,8449.0,8449.0,8449.0,10.0,23.0
2007-07-09,8361.0,8361.0,8361.0,8361.0,10.0,23.0
2007-07-06,8360.0,8360.0,8360.0,8360.0,10.0,23.0
2007-07-05,8396.0,8396.0,8396.0,8396.0,10.0,23.0
2007-07-03,8437.0,8437.0,8437.0,8437.0,0.0,23.0
2007-07-02,8436.0,8436.0,8436.0,8436.0,0.0,23.0
2007-06-29,8381.0,8381.0,8381.0,8381.0,10.0,23.0
2007-06-28,8380.0,8380.0,8380.0,8380.0,10.0,23.0
2007-06-27,8434.0,8434.0,8434.0,8434.0,0.0,23.0
2007-06-26,8379.0,8379.0,8379.0,8379.0,10.0,23.0
2007-06-25,8356.0,8356.0,8356.0,8356.0,10.0,23.0
2007-06-22,8344.0,8344.0,8344.0,8344.0,10.0,23.0
2007-06-21,8371.0,8371.0,8354.0,8357.0,10.0,23.0
2007-06-20,8370.0,8370.0,8370.0,8370.0,0.0,13.0
2007-06-19,8383.0,8383.0,8383.0,8383.0,0.0,13.0
2007-06-18,8370.0,8370.0,8370.0,8370.0,0.0,13.0
2007-06-15,8375.0,8381.0,8371.0,8381.0,2.0,13.0
2007-06-14,8412.0,8412.0,8412.0,8412.0,7.0,13.0
2007-06-13,8440.0,8440.0,8440.0,8440.0,0.0,13.0
2007-06-12,8498.0,8498.0,8498.0,8498.0,6.0,13.0
2007-06-11,8497.0,8497.0,8497.0,8497.0,0.0,13.0
2007-06-08,8507.0,8507.0,8507.0,8507.0,0.0,13.0
2007-06-07,8548.0,8548.0,8548.0,8548.0,0.0,13.0
2007-06-06,8557.0,8557.0,8557.0,8557.0,0.0,13.0
2007-06-05,8537.0,8537.0,8537.0,8537.0,0.0,13.0
2007-06-04,8504.0,8504.0,8504.0,8504.0,0.0,13.0
2007-06-01,8490.0,8490.0,8490.0,8490.0,0.0,13.0
2007-05-31,8514.0,8514.0,8514.0,8514.0,0.0,13.0
2007-05-30,8525.0,8525.0,8525.0,8525.0,0.0,13.0
2007-05-29,8529.0,8529.0,8529.0,8529.0,0.0,13.0
2007-05-25,8519.0,8519.0,8519.0,8519.0,0.0,13.0
2007-05-24,8542.0,8542.0,8542.0,8542.0,0.0,13.0
2007-05-23,8527.0,8527.0,8527.0,8527.0,0.0,13.0
2007-05-22,8536.0,8536.0,8536.0,8536.0,0.0,13.0
2007-05-21,8544.0,8544.0,8544.0,8544.0,0.0,13.0
2007-05-18,8564.0,8564.0,8564.0,8564.0,0.0,13.0
2007-05-17,8559.0,8559.0,8559.0,8559.0,0.0,13.0
2007-05-16,8598.0,8598.0,8598.0,8598.0,5.0,13.0
2007-05-15,8634.0,8634.0,8634.0,8634.0,0.0,8.0
2007-05-14,8633.0,8633.0,8633.0,8633.0,0.0,8.0
2007-05-11,8644.0,8644.0,8644.0,8644.0,0.0,8.0
2007-05-10,8652.0,8652.0,8652.0,8652.0,0.0,8.0
2007-05-09,8654.0,8654.0,8654.0,8654.0,0.0,8.0
2007-05-08,8663.0,8663.0,8663.0,8663.0,0.0,8.0
2007-05-07,8655.0,8655.0,8655.0,8655.0,0.0,8.0
2007-05-04,8652.0,8652.0,8652.0,8652.0,0.0,8.0
2007-05-03,8632.0,8632.0,8632.0,8632.0,0.0,8.0
2007-05-02,8653.0,8653.0,8653.0,8653.0,0.0,8.0
2007-05-01,8682.0,8682.0,8682.0,8682.0,0.0,8.0
2007-04-30,8698.0,8698.0,8698.0,8698.0,0.0,8.0
2007-04-27,8692.0,8692.0,8692.0,8692.0,0.0,8.0
2007-04-26,8695.0,8695.0,8695.0,8695.0,0.0,8.0
2007-04-25,8766.0,8766.0,8766.0,8766.0,0.0,8.0
2007-04-24,8769.0,8769.0,8769.0,8769.0,0.0,8.0
2007-04-23,8774.0,8774.0,8774.0,8774.0,0.0,8.0
2007-04-20,8767.0,8767.0,8767.0,8767.0,0.0,8.0
2007-04-19,8794.0,8794.0,8794.0,8794.0,0.0,8.0
2007-04-18,8780.0,8780.0,8780.0,8780.0,0.0,8.0
2007-04-17,8758.0,8758.0,8758.0,8758.0,0.0,8.0
2007-04-16,8701.0,8701.0,8701.0,8701.0,0.0,8.0
2007-04-13,8747.0,8747.0,8747.0,8747.0,1.0,8.0
2007-04-12,8752.0,8752.0,8752.0,8752.0,1.0,9.0
2007-04-11,8739.0,8746.0,8729.0,8739.0,1.0,9.0
2007-04-10,8752.0,8752.0,8752.0,8752.0,0.0,9.0
2007-04-09,8739.0,8739.0,8739.0,8739.0,0.0,9.0
2007-04-06,8739.0,8739.0,8739.0,8739.0,0.0,9.0
2007-04-05,8788.0,8788.0,8788.0,8788.0,0.0,9.0
2007-04-04,8790.0,8790.0,8790.0,8790.0,10.0,9.0
2007-04-03,8776.0,8776.0,8776.0,8776.0,0.0,9.0
2007-04-02,8856.0,8856.0,8856.0,8856.0,10.0,9.0
2007-03-30,8857.0,8857.0,8857.0,8857.0,10.0,9.0
2007-03-29,8844.0,8844.0,8844.0,8844.0,10.0,9.0
2007-03-28,8928.0,8928.0,8928.0,8928.0,0.0,9.0
2007-03-27,8851.0,8851.0,8851.0,8851.0,10.0,17.0
2007-03-26,8845.0,8845.0,8845.0,8845.0,0.0,7.0
2007-03-23,8845.0,8845.0,8845.0,8845.0,0.0,7.0
2007-03-22,8838.0,8838.0,8838.0,8838.0,0.0,7.0
2007-03-21,8892.0,8892.0,8892.0,8892.0,0.0,7.0
2007-03-20,8908.0,8908.0,8908.0,8908.0,0.0,7.0
2007-03-19,8884.0,8884.0,8884.0,8884.0,0.0,7.0
2007-03-16,8948.0,8948.0,8948.0,8948.0,0.0,7.0
2007-03-15,8884.0,8884.0,8884.0,8884.0,0.0,7.0
2007-03-14,8955.0,8955.0,8955.0,8955.0,0.0,7.0
2007-03-13,8970.0,8970.0,8970.0,8970.0,0.0,7.0
2007-03-12,8891.0,8891.0,8891.0,8891.0,0.0,7.0
2007-03-09,8854.0,8854.0,8854.0,8854.0,0.0,7.0
2007-03-08,8929.0,8929.0,8929.0,8929.0,0.0,7.0
2007-03-07,8988.0,8988.0,8988.0,8988.0,0.0,7.0
2007-03-06,8969.0,8969.0,8969.0,8969.0,0.0,7.0
2007-03-05,9031.0,9031.0,9031.0,9031.0,0.0,7.0
2007-03-02,8959.0,8959.0,8959.0,8959.0,0.0,7.0
2007-03-01,8900.0,8900.0,8900.0,8900.0,0.0,7.0
2007-02-28,8850.0,8850.0,8850.0,8850.0,0.0,7.0
2007-02-27,8859.0,8859.0,8859.0,8859.0,0.0,7.0
2007-02-26,8693.0,8693.0,8693.0,8693.0,0.0,7.0
2007-02-23,8663.0,8663.0,8663.0,8663.0,1.0,7.0
2007-02-22,8630.0,8630.0,8630.0,8630.0,1.0,7.0
2007-02-21,8677.0,8677.0,8677.0,8677.0,1.0,8.0
