Date,Open,High,Low,Close,Volume,Open Interest
2018-12-17,8825.0,8859.0,8809.0,8854.0,1838.0,54544.0
2018-12-14,8802.0,8834.5,8797.5,8828.0,46777.0,73372.0
2018-12-13,8830.5,8835.0,8795.5,8804.0,163900.0,105276.0
2018-12-12,8822.5,8841.5,8812.0,8835.5,156010.0,137211.0
2018-12-11,8832.0,8852.5,8816.5,8822.0,142365.0,157970.0
2018-12-10,8883.5,8914.0,8822.5,8837.5,192599.0,193557.0
2018-12-07,8878.5,8889.0,8860.0,8883.0,141997.0,202985.0
2018-12-06,8842.5,8915.5,8842.0,8883.5,227135.0,215021.0
2018-12-05,8877.0,8884.5,8838.0,8841.5,80849.0,216316.0
2018-12-04,8807.5,8890.5,8807.5,8872.0,186280.0,214506.0
2018-12-03,8803.0,8829.0,8794.0,8804.5,108541.0,216342.0
2018-11-30,8822.0,8832.0,8802.0,8811.5,88864.0,216746.0
2018-11-29,8809.5,8845.0,8809.5,8825.0,113972.0,222364.0
2018-11-28,8802.0,8827.0,8780.5,8819.5,126718.0,223923.0
2018-11-27,8818.5,8829.5,8795.5,8800.5,104446.0,223192.0
2018-11-26,8870.0,8873.0,8811.0,8812.0,111328.0,217138.0
2018-11-23,8856.0,8890.0,8853.0,8876.5,88459.0,217852.0
2018-11-21,8885.0,8891.5,8852.0,8858.0,100869.0,216962.0
2018-11-20,8904.5,8919.0,8875.5,8885.5,151803.0,220050.0
2018-11-19,8884.0,8913.0,8876.5,8903.5,119064.0,218781.0
2018-11-16,8822.5,8896.0,8820.0,8881.0,174808.0,223990.0
2018-11-15,8824.0,8861.0,8813.0,8822.5,175638.0,228142.0
2018-11-14,8806.5,8847.0,8791.0,8832.5,152497.0,227328.0
2018-11-13,8808.5,8826.0,8781.5,8805.0,147436.0,226665.0
2018-11-12,8802.5,8820.5,8767.5,8805.5,97591.0,220159.0
2018-11-09,8790.5,8822.5,8790.0,8810.5,118740.0,218466.0
2018-11-08,8829.5,8832.5,8787.5,8795.0,107656.0,210927.0
2018-11-07,8838.0,8879.0,8810.5,8847.0,199259.0,206041.0
2018-11-06,8858.0,8867.5,8835.5,8843.5,99514.0,199297.0
2018-11-05,8858.0,8869.5,8848.0,8858.5,74725.0,200129.0
2018-11-02,8905.0,8911.5,8850.5,8854.5,163806.0,199179.0
2018-11-01,8882.5,8908.0,8877.0,8899.5,123661.0,201886.0
2018-10-31,8871.5,8894.0,8849.0,8875.5,151294.0,199798.0
2018-10-30,8932.5,8935.5,8871.0,8883.0,178343.0,201381.0
2018-10-29,8970.0,8978.5,8914.5,8931.5,186067.0,202041.0
2018-10-26,8929.0,9011.5,8925.5,8973.5,284875.0,203731.0
2018-10-25,8948.0,8976.5,8907.0,8913.5,167583.0,202104.0
2018-10-24,8928.5,8956.5,8903.5,8929.0,171697.0,202893.0
2018-10-23,8898.0,8968.0,8897.5,8926.5,184859.0,205041.0
2018-10-22,8924.0,8937.0,8894.5,8900.5,101783.0,203972.0
2018-10-19,8950.5,8954.0,8913.5,8918.5,135361.0,205578.0
2018-10-18,8912.5,8973.0,8908.0,8951.0,147038.0,207065.0
2018-10-17,8946.0,8967.0,8914.0,8929.0,123245.0,208685.0
2018-10-16,8987.0,8991.0,8941.5,8955.0,123789.0,216107.0
2018-10-15,8958.5,9000.5,8951.5,8979.0,136020.0,220125.0
2018-10-12,8959.5,8980.5,8930.5,8970.5,147287.0,228932.0
2018-10-11,8949.5,8985.0,8928.5,8974.5,277449.0,244442.0
2018-10-10,8893.5,8953.0,8870.5,8925.5,153418.0,249963.0
2018-10-09,8881.0,8904.0,8862.5,8890.5,134655.0,252257.0
2018-10-08,8834.5,8908.0,8820.0,8893.5,103761.0,253147.0
2018-10-05,8825.0,8849.5,8807.0,8835.5,133627.0,251949.0
2018-10-04,8780.5,8844.5,8774.0,8827.0,161780.0,253474.0
2018-10-03,8848.0,8856.0,8775.0,8792.0,120742.0,247360.0
2018-10-02,8820.0,8855.5,8817.5,8844.0,118013.0,244496.0
2018-10-01,8843.0,8844.5,8814.5,8821.5,101672.0,230878.0
2018-09-28,8867.0,8876.0,8842.0,8854.0,127005.0,235601.0
2018-09-27,8923.5,8935.0,8862.5,8867.0,137618.0,220790.0
2018-09-26,8907.0,8932.0,8892.0,8916.0,120283.0,212888.0
2018-09-25,8919.5,8924.0,8904.5,8908.5,84212.0,205501.0
2018-09-24,8940.0,8949.0,8916.5,8926.5,74132.0,199337.0
2018-09-21,8946.0,8949.0,8913.5,8940.5,107773.0,197649.0
2018-09-20,8964.0,8980.5,8936.5,8946.5,109231.0,192333.0
2018-09-19,8957.5,8973.5,8950.0,8965.5,85718.0,196822.0
2018-09-18,9000.5,9013.5,8954.5,8956.5,121525.0,184554.0
2018-09-17,8983.5,9006.5,8977.0,8997.0,64646.0,180220.0
2018-09-14,8994.0,9007.5,8973.0,8985.5,123436.0,161606.0
2018-09-13,9048.0,9055.0,8987.5,8997.5,102604.0,117097.0
2018-09-12,9020.0,9062.0,9018.0,9052.0,85103.0,57833.0
2018-09-11,9063.0,9065.5,9019.5,9023.5,38705.0,37326.0
2018-09-10,9067.5,9084.5,9052.0,9055.0,18785.0,26471.0
2018-09-07,9101.0,9123.5,9053.5,9067.5,10669.0,19977.0
2018-09-06,9033.5,9113.0,9033.0,9086.5,8367.0,13946.0
2018-09-05,9036.0,9042.0,9014.5,9034.0,7724.0,8006.0
2018-09-04,9070.0,9087.5,9033.0,9037.5,2238.0,9116.0
2018-08-31,9076.0,9102.5,9067.0,9076.5,4739.0,6615.0
2018-08-30,9018.0,9080.5,9017.0,9074.0,1986.0,4942.0
2018-08-29,9063.0,9067.0,9012.5,9023.0,2075.0,4859.0
2018-08-28,9068.0,9080.0,9052.0,9061.5,1068.0,4021.0
2018-08-27,9054.5,9084.5,9054.5,9072.0,919.0,3569.0
2018-08-24,9054.0,9069.5,9042.0,9064.0,871.0,3212.0
2018-08-23,9119.0,9119.0,9056.5,9058.0,1166.0,2812.0
2018-08-22,9151.5,9162.0,9118.0,9119.0,715.0,2246.0
2018-08-21,9167.0,9184.0,9123.5,9133.0,274.0,2324.0
2018-08-20,9123.0,9163.0,9116.0,9150.0,1671.0,1609.0
2018-08-17,9089.0,9140.0,9088.0,9119.0,253.0,1443.0
2018-08-16,9120.0,9130.0,9079.0,9096.0,130.0,1430.0
2018-08-15,9063.5,9128.0,9058.5,9122.5,162.0,1438.0
2018-08-14,9112.0,9115.5,9063.5,9071.0,413.0,1426.0
2018-08-13,9117.5,9158.5,9098.0,9116.5,88.0,1428.0
2018-08-10,9097.0,9127.0,9080.0,9122.5,316.0,1281.0
2018-08-09,9108.0,9109.0,9078.0,9088.0,34.0,1273.0
2018-08-08,9060.0,9102.5,9060.0,9096.0,38.0,1254.0
2018-08-07,9071.0,9087.5,9060.0,9060.0,194.0,1118.0
2018-08-06,9075.0,9078.0,9050.0,9061.5,60.0,1101.0
2018-08-03,9034.0,9081.5,9033.5,9074.0,83.0,1077.0
2018-08-02,9039.0,9064.0,9039.0,9039.0,38.0,1075.0
2018-08-01,9015.5,9057.5,9006.0,9050.5,200.0,940.0
2018-07-31,9092.0,9107.0,9022.5,9030.5,58.0,946.0
